city,state_abbr,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
Marinette,WI,42503.5343,89609.68235,258,4992,53574,1708,281650,69928415,33810036
Maringouin,LA,440.3362721,829.8444797,11,35,324,15,1912,516290,229503
Marion,AR,27533.22736,46382.06711,80,1227,15016,437,68717,23960829,8248964
Marion,IA,122087.7201,230527.7267,532,5887,64463,2020,334252,69772286,40124500
Marion,IL,75105.35166,157726.1884,484,11779,132145,0,0,135000686,0
Marion,IN,87655.40404,172936.7131,629,9529,107563,1493,208617,183383468,25043004
Marion,KS,12882.7594,37740.49046,76,755,7599,132,18311,13685218,2198075
Marion,KY,17981.9183,44958.14867,92,977,10317,128,18029,17293976,2164280
Marion,LA,36.02480646,61.66843856,20,585,7251,33,4204,11569629,504611
Marion,MA,63517.01176,106730.8166,117,1308,7935,276,34986,8611551,4199754
Marion,MI,1141.668484,2847.415087,30,232,1949,40,6099,2544459,732131
Marion,MS,11184.71459,17793.83765,31,474,4747,18,2472,7532739,296732
Marion,ND,64.55430888,122.2189641,7,118,1354,0,0,1465199,0
Marion,NY,19222.21107,29896.84106,75,952,8512,245,45099,15325921,5413814
Marion,OH,62421.47653,123241.6272,635,8468,83952,1997,363005,143129195,43576109
Marion,PA,13810.24042,25727.11308,44,278,3153,83,10995,5810514,1319804
Marion,SD,2564.339624,4556.729194,21,275,2828,108,20484,3061405,2459011
Marion,TX,1422.360827,2067.310771,12,130,1551,18,2721,2076589,326667
Marion,WI,1341.335564,2245.133783,29,225,1955,123,19423,2551395,2331624
Marionville,MO,3699.756755,5904.619761,50,868,7894,0,0,8064156,0
Marissa,IL,7697.462147,10593.0805,40,442,4954,0,0,5060870,0
Mark,IL,163.7812322,339.4319392,5,44,495,0,0,505622,0
Marked Tree,AR,14053.86045,20697.4629,49,587,7131,184,28938,11378683,3473791
Markesan,WI,2243.713048,3062.995452,56,456,4044,151,23219,5278655,2787283
Markham,IL,87185.85156,131750.0112,126,1051,12042,362,60042,20529679,7207613
