,zip,city,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,state_id
50150,60659,Chicago,38486.0,536601.0,6145963.0,248271.0,28559474.0,IL
50151,60660,Chicago,38486.0,536601.0,6145963.0,248271.0,28559474.0,IL
50152,60661,Chicago,38486.0,536601.0,6145963.0,248271.0,28559474.0,IL
50153,60706,Harwood Heights,110.0,1414.0,16200.0,515.0,58919.0,IL
50154,60706,Norridge,183.0,1886.0,21605.0,691.0,82673.0,IL
50155,60706,Chicago,38486.0,536601.0,6145963.0,248271.0,28559474.0,IL
50156,60707,Oak Park,1261.0,11031.0,126347.0,5269.0,602252.0,IL
50157,60707,River Grove,182.0,1639.0,18773.0,655.0,95227.0,IL
50158,60707,River Forest,229.0,1109.0,12698.0,538.0,68796.0,IL
50159,60707,Elmwood Park,264.0,1238.0,14176.0,793.0,90637.0,IL
50160,60707,Chicago,38486.0,536601.0,6145963.0,248271.0,28559474.0,IL
50161,60712,Lincolnwood,211.0,3734.0,42763.0,1369.0,210569.0,IL
50162,60712,Chicago,38486.0,536601.0,6145963.0,248271.0,28559474.0,IL
50163,60712,Skokie,1420.0,16315.0,186860.0,5787.0,954438.0,IL
50164,60714,Park Ridge,711.0,6856.0,78522.0,2633.0,380814.0,IL
50165,60714,Glenview,654.0,8638.0,98939.0,3553.0,589065.0,IL
50166,60714,Niles,372.0,7036.0,80582.0,2082.0,324914.0,IL
50167,60714,Morton Grove,420.0,3965.0,45417.0,1395.0,231297.0,IL
50168,60714,Chicago,38486.0,536601.0,6145963.0,248271.0,28559474.0,IL
50169,60714,Skokie,1420.0,16315.0,186860.0,5787.0,954438.0,IL
50170,60803,Alsip,218.0,5205.0,59614.0,1408.0,228282.0,IL
50171,60803,Palos Heights,318.0,2470.0,28289.0,1133.0,187809.0,IL
50172,60803,Crestwood,154.0,2053.0,23515.0,671.0,111249.0,IL
50173,60803,Oak Lawn,901.0,7450.0,85330.0,2865.0,396159.0,IL
50174,60803,Calumet Park,126.0,1009.0,11555.0,371.0,53897.0,IL
50175,60803,Merrionette Park,28.0,474.0,5429.0,151.0,21961.0,IL
50176,60803,Worth,221.0,1514.0,17339.0,641.0,106301.0,IL
50177,60803,Blue Island,345.0,2893.0,33129.0,1418.0,221803.0,IL
50178,60803,Chicago,38486.0,536601.0,6145963.0,248271.0,28559474.0,IL
50179,60804,Oak Park,1261.0,11031.0,126347.0,5269.0,602252.0,IL
50180,60804,Stickney,1177.0,12949.0,148315.0,7216.0,824804.0,IL
50181,60804,Berwyn,955.0,5506.0,63067.0,3199.0,365648.0,IL
50182,60804,Cicero,596.0,6102.0,69888.0,2616.0,298984.0,IL
50183,60804,Forest View,3.0,255.0,2918.0,53.0,6051.0,IL
50184,60804,Chicago,38486.0,536601.0,6145963.0,248271.0,28559474.0,IL
50185,60805,Oak Lawn,901.0,7450.0,85330.0,2865.0,396159.0,IL
50186,60805,Evergreen Park,412.0,5823.0,66693.0,2184.0,249697.0,IL
50187,60805,Chicago,38486.0,536601.0,6145963.0,248271.0,28559474.0,IL
50188,60827,Riverdale,134.0,701.0,8030.0,353.0,56722.0,IL
50189,60827,Calumet Park,126.0,1009.0,11555.0,371.0,53897.0,IL
50190,60827,Dixmoor,19.0,249.0,2850.0,119.0,19749.0,IL
50191,60827,Dolton,331.0,2942.0,33700.0,1182.0,192831.0,IL
50192,60827,Harvey,401.0,4923.0,56385.0,1545.0,256152.0,IL
50193,60827,Blue Island,345.0,2893.0,33129.0,1418.0,221803.0,IL
50194,60827,Chicago,38486.0,536601.0,6145963.0,248271.0,28559474.0,IL
50195,60901,Bradley,213.0,3583.0,41043.0,1079.0,178835.0,IL
50196,60901,Bourbonnais,223.0,1971.0,22575.0,804.0,133303.0,IL
50197,60901,Sun River Terrace,2.0,17.0,199.0,12.0,2013.0,IL
50198,60901,Sammons Point,5.0,30.0,343.0,20.0,3303.0,IL
50199,60901,Irwin,2.0,13.0,143.0,8.0,1375.0,IL
50200,60901,Limestone,30.0,407.0,4657.0,116.0,19291.0,IL
50201,60901,Aroma Park,9.0,128.0,1464.0,45.0,7502.0,IL
50202,60901,Kankakee,549.0,7344.0,84115.0,2176.0,360736.0,IL
50203,60910,Aroma Park,9.0,128.0,1464.0,45.0,7502.0,IL
50204,60911,Ashkum,22.0,178.0,1993.0,92.0,15278.0,IL
50205,60912,Beaverville,7.0,42.0,478.0,15.0,2413.0,IL
50206,60913,Bonfield,5.0,18.0,206.0,9.0,1460.0,IL
50207,60913,Limestone,30.0,407.0,4657.0,116.0,19291.0,IL
50208,60914,Bradley,213.0,3583.0,41043.0,1079.0,178835.0,IL
50209,60914,Bourbonnais,223.0,1971.0,22575.0,804.0,133303.0,IL
50210,60914,Manteno,65.0,848.0,9717.0,500.0,82923.0,IL
50211,60915,Bradley,213.0,3583.0,41043.0,1079.0,178835.0,IL
50212,60915,Bourbonnais,223.0,1971.0,22575.0,804.0,133303.0,IL
50213,60915,Kankakee,549.0,7344.0,84115.0,2176.0,360736.0,IL
50214,60917,Union Hill,2.0,7.0,84.0,4.0,594.0,IL
50215,60917,Buckingham,3.0,11.0,121.0,5.0,858.0,IL
50216,60918,Buckley,10.0,69.0,776.0,38.0,6350.0,IL
50217,60919,Cabery,6.0,34.0,390.0,13.0,2120.0,IL
50218,60919,Campus,6.0,37.0,422.0,12.0,1963.0,IL
50219,60920,Campus,6.0,37.0,422.0,12.0,1963.0,IL
50220,60921,Chatsworth,28.0,252.0,2827.0,60.0,9995.0,IL
50221,60922,Chebanse,21.0,152.0,1737.0,62.0,10260.0,IL
50222,60922,Sammons Point,5.0,30.0,343.0,20.0,3303.0,IL
50223,60922,Kankakee,549.0,7344.0,84115.0,2176.0,360736.0,IL
50224,60924,Cissna Park,28.0,283.0,3178.0,28.0,4691.0,IL
50225,60927,Clifton,24.0,174.0,1977.0,66.0,10900.0,IL
50226,60928,Crescent City,7.0,55.0,619.0,29.0,4747.0,IL
50227,60929,Cullom,16.0,108.0,1235.0,35.0,5741.0,IL
50228,60930,Danforth,6.0,52.0,580.0,27.0,4444.0,IL
50229,60931,Donovan,5.0,34.0,388.0,12.0,1961.0,IL
50230,60931,Iroquois,5.0,31.0,349.0,11.0,1761.0,IL
50231,60934,Emington,2.0,13.0,148.0,4.0,689.0,IL
50232,60935,Essex,5.0,19.0,212.0,9.0,1501.0,IL
50233,60936,Gibson City,64.0,1410.0,15828.0,259.0,42961.0,IL
50234,60936,Elliott,7.0,56.0,625.0,15.0,2529.0,IL
50235,60938,Crescent City,7.0,55.0,619.0,29.0,4747.0,IL
50236,60938,Gilman,34.0,302.0,3386.0,100.0,16530.0,IL
50237,60940,Grant Park,42.0,181.0,2074.0,96.0,15841.0,IL
