,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id
0,West Springfield Town,11630.0,28575.0,15270.0,81359.0,6118.0,532326.0,88295765.0,63901804.0,MA
1,Suffield,4840.0,15513.0,8215.0,41700.0,948.0,69044.0,45255966.0,8288254.0,MA
2,Agawam Town,11621.0,28701.0,17452.0,92827.0,5959.0,518578.0,100741935.0,62251543.0,MA
3,Longmeadow,5710.0,15772.0,9383.0,49609.0,5039.0,438806.0,53838507.0,52675405.0,MA
4,Springfield,55921.0,153991.0,79978.0,425074.0,37335.0,3251343.0,461319159.0,390300006.0,MA
5,New Salem,435.0,986.0,667.0,3472.0,62.0,5013.0,3768203.0,601770.0,MA
6,Hadley,2291.0,5209.0,3400.0,17708.0,606.0,52272.0,19218075.0,6274904.0,MA
7,Amherst,8955.0,37611.0,12155.0,64304.0,2277.0,185120.0,69786805.0,22222346.0,MA
8,Granby,2493.0,6232.0,4030.0,20918.0,516.0,44544.0,22701281.0,5347128.0,MA
9,Belchertown,5611.0,14479.0,9055.0,46992.0,576.0,49738.0,50999103.0,5970636.0,MA
10,Pelham,533.0,1290.0,847.0,4409.0,86.0,6866.0,4785314.0,824218.0,MA
11,Sunderland,1567.0,3780.0,2042.0,10817.0,329.0,26427.0,11739026.0,3172329.0,MA
12,Leverett,759.0,1720.0,1163.0,6056.0,109.0,8743.0,6572070.0,1049539.0,MA
13,South Hadley,6786.0,17493.0,7760.0,54126.0,3273.0,284646.0,58741281.0,34169716.0,MA
14,Shutesbury,810.0,1837.0,1241.0,6466.0,116.0,9336.0,7017772.0,1120716.0,MA
16,Hardwick,1218.0,3088.0,1775.0,9211.0,152.0,11486.0,9996399.0,1378772.0,MA
17,Phillipston,622.0,1878.0,1024.0,5312.0,70.0,5600.0,5765476.0,672268.0,MA
18,Barre,1918.0,5383.0,3095.0,16063.0,179.0,14252.0,17432592.0,1710812.0,MA
19,Hubbardston,1626.0,4341.0,2682.0,13920.0,177.0,10879.0,15107198.0,1305958.0,MA
20,Petersham,423.0,1279.0,697.0,3617.0,48.0,3813.0,3925125.0,457679.0,MA
21,New Braintree,390.0,989.0,568.0,2949.0,49.0,3678.0,3200817.0,441479.0,MA
22,Oakham,647.0,1822.0,1100.0,5711.0,68.0,5102.0,6198393.0,612462.0,MA
23,Rutland,2873.0,7812.0,5173.0,26846.0,264.0,21007.0,29135514.0,2521725.0,MA
24,Ware,4133.0,9851.0,5773.0,29960.0,616.0,48636.0,32514335.0,5838377.0,MA
25,Palmer Town,4823.0,12145.0,6782.0,35204.0,812.0,67358.0,38205479.0,8085866.0,MA
27,Ludlow,8000.0,21131.0,12679.0,66620.0,3881.0,337971.0,72301004.0,40570948.0,MA
32,Tolland,424.0,1039.0,669.0,3557.0,55.0,4809.0,3860717.0,577267.0,MA
33,Huntington,793.0,2219.0,1223.0,6508.0,81.0,5900.0,7062497.0,708234.0,MA
34,Russell,581.0,1423.0,917.0,4876.0,76.0,6591.0,5291453.0,791196.0,MA
35,Otis,736.0,1601.0,1090.0,5678.0,108.0,8699.0,6161730.0,1044296.0,MA
36,Blandford,477.0,1169.0,753.0,4004.0,62.0,5412.0,4345199.0,649709.0,MA
37,Granville,538.0,1317.0,848.0,4513.0,70.0,6101.0,4897811.0,732337.0,MA
38,Chester,536.0,1313.0,846.0,4499.0,70.0,6082.0,4882671.0,730073.0,MA
41,Monson,3428.0,8531.0,5221.0,27098.0,558.0,48602.0,29408816.0,5834284.0,MA
43,Brimfield,1494.0,3582.0,2412.0,12518.0,229.0,18101.0,13585901.0,2172935.0,MA
44,Sturbridge,3602.0,9133.0,6614.0,34324.0,369.0,27831.0,37250210.0,3340927.0,MA
45,Warren,1928.0,5106.0,3060.0,15879.0,521.0,41149.0,17233332.0,4939623.0,MA
46,Holland,1064.0,2739.0,1654.0,8583.0,117.0,10182.0,9315059.0,1222301.0,MA
47,Brookfield,1419.0,3363.0,2198.0,11409.0,312.0,23501.0,12381375.0,2821065.0,MA
48,Wales,688.0,1770.0,1069.0,5546.0,76.0,6579.0,6018961.0,789794.0,MA
49,Middlefield,240.0,526.0,354.0,1881.0,35.0,2778.0,2041505.0,333466.0,MA
50,Becket,868.0,2049.0,1303.0,6930.0,121.0,9734.0,7521340.0,1168498.0,MA
52,Worthington,541.0,1186.0,797.0,4241.0,79.0,6263.0,4602534.0,751792.0,MA
53,Washington,131.0,309.0,197.0,1047.0,18.0,1470.0,1136036.0,176492.0,MA
56,Peru,326.0,806.0,511.0,2717.0,52.0,4205.0,2948681.0,504821.0,MA
58,Chesterfield,512.0,1043.0,773.0,4096.0,81.0,6433.0,4445691.0,772203.0,MA
60,Goshen,536.0,1230.0,798.0,4141.0,83.0,7150.0,4494328.0,858287.0,MA
61,Westhampton,661.0,1590.0,1073.0,5587.0,87.0,7583.0,6063184.0,910253.0,MA
63,Holyoke,15005.0,40280.0,15339.0,107293.0,6393.0,568480.0,116441804.0,68241831.0,MA
64,Chicopee,22988.0,56100.0,25102.0,171507.0,11036.0,961388.0,186130974.0,115407648.0,MA
75,Plainfield,283.0,620.0,417.0,2218.0,41.0,3276.0,2407367.0,393227.0,MA
78,Windsor,387.0,959.0,607.0,3230.0,62.0,5000.0,3505575.0,600163.0,MA
80,Cummington,417.0,915.0,615.0,3270.0,61.0,4829.0,3548854.0,579681.0,MA
81,Southampton,2490.0,5758.0,3848.0,20466.0,1009.0,87566.0,22210712.0,10511691.0,MA
86,Easthampton Town,7222.0,16042.0,9561.0,50181.0,2374.0,206097.0,54459847.0,24740427.0,MA
87,Northampton,11364.0,28534.0,14122.0,73396.0,5528.0,479652.0,79653699.0,57578706.0,MA
90,Williamsburg,1060.0,2434.0,1579.0,8192.0,164.0,14144.0,8890952.0,1697916.0,MA
91,Enfield,16268.0,44747.0,25578.0,129829.0,6177.0,426277.0,140898591.0,51171382.0,MA
92,East Longmeadow,6063.0,15555.0,9595.0,49873.0,4015.0,349677.0,54125139.0,41976157.0,MA
94,Hampden,1907.0,5134.0,3133.0,16261.0,896.0,78068.0,17647919.0,9371483.0,MA
96,Somers,3422.0,9284.0,5881.0,29853.0,362.0,25010.0,32398918.0,3002301.0,MA
97,Wilbraham,5223.0,14145.0,8789.0,45704.0,2777.0,241861.0,49600685.0,29033699.0,MA
104,Westfield,15112.0,41486.0,20110.0,118459.0,7405.0,591295.0,128559304.0,70980677.0,MA
105,Southwick,3634.0,9425.0,6206.0,32922.0,877.0,75986.0,35729630.0,9121580.0,MA
109,West Brookfield,1537.0,3730.0,2236.0,11603.0,432.0,32575.0,12592114.0,3910356.0,MA
116,Ashfield,741.0,1831.0,1110.0,5780.0,118.0,9439.0,6273124.0,1133109.0,MA
125,Sandisfield,290.0,632.0,430.0,2240.0,43.0,3432.0,2430641.0,411948.0,MA
126,Granby,4223.0,11192.0,7384.0,37482.0,501.0,39066.0,40678257.0,4689633.0,MA
132,Colebrook,588.0,1395.0,1055.0,5356.0,96.0,6646.0,5812416.0,797801.0,MA
133,Hartland,777.0,2158.0,1320.0,6702.0,101.0,7844.0,7273883.0,941655.0,MA
136,Hatfield,1527.0,3272.0,2120.0,11042.0,691.0,59675.0,11983728.0,7163573.0,MA
145,Stafford,4600.0,12102.0,8279.0,42022.0,321.0,22385.0,45605452.0,2687159.0,MA
148,Whately,599.0,1445.0,781.0,4135.0,126.0,10103.0,4487852.0,1212787.0,MA
152,Conway,702.0,1733.0,1050.0,5470.0,111.0,8933.0,5936936.0,1072383.0,MA
171,Montgomery,285.0,698.0,450.0,2393.0,37.0,3234.0,2596521.0,388241.0,MA
176,Wendell,385.0,897.0,554.0,2888.0,65.0,5226.0,3134178.0,627301.0,MA
177,Montague,3653.0,8455.0,5009.0,26347.0,1098.0,88131.0,28593427.0,10579487.0,MA
206,North Brookfield,1824.0,4686.0,2799.0,14528.0,378.0,28504.0,15766366.0,3421717.0,MA
211,Spencer,4735.0,11715.0,6713.0,34842.0,1287.0,97869.0,37812776.0,11748453.0,MA
219,Savoy,318.0,713.0,477.0,2483.0,55.0,4424.0,2695090.0,531032.0,MA
220,Hawley,144.0,318.0,210.0,1092.0,23.0,1860.0,1184645.0,223252.0,MA
259,Union,325.0,943.0,575.0,2918.0,8.0,652.0,3166964.0,78245.0,MA
353,Lenox,2481.0,5013.0,2979.0,15515.0,1433.0,115050.0,16837523.0,13810855.0,MA
354,Pittsfield,19166.0,43632.0,23789.0,126330.0,10999.0,883160.0,137101379.0,106016876.0,MA
355,Richmond,618.0,1520.0,940.0,4895.0,77.0,6176.0,5311914.0,741421.0,MA
356,Stephentown,1237.0,2908.0,1452.0,11339.0,142.0,16478.0,20415998.0,1978101.0,MA
357,Canaan,675.0,1604.0,876.0,7046.0,118.0,12014.0,12686522.0,1442228.0,MA
358,New Lebanon,1038.0,2440.0,1294.0,10146.0,155.0,15785.0,18267603.0,1894815.0,MA
359,Hancock,366.0,900.0,556.0,2898.0,46.0,3656.0,3144747.0,438934.0,MA
360,Dalton,2821.0,6753.0,3759.0,19994.0,1684.0,135204.0,21698763.0,16230266.0,MA
361,Lanesborough,1154.0,3074.0,2079.0,10830.0,260.0,20855.0,11753479.0,2503459.0,MA
363,Cheshire,1445.0,3245.0,1943.0,10337.0,492.0,39542.0,11218881.0,4746785.0,MA
364,North Adams,5913.0,13326.0,6635.0,34436.0,3418.0,274419.0,37372692.0,32941943.0,MA
365,New Ashford,77.0,189.0,117.0,608.0,10.0,767.0,659572.0,92061.0,MA
366,Adams,3773.0,8494.0,4419.0,22964.0,2032.0,163148.0,24921569.0,19584772.0,MA
367,Salisbury,1698.0,3783.0,2859.0,14514.0,41.0,3162.0,15751253.0,379577.0,MA
368,North Canaan,1224.0,3329.0,2131.0,10818.0,42.0,3248.0,11740612.0,389950.0,MA
369,New Marlborough,638.0,1499.0,906.0,4703.0,120.0,9600.0,5104202.0,1152355.0,MA
370,Sheffield,1401.0,3255.0,2027.0,10521.0,201.0,16110.0,11418245.0,1933848.0,MA
373,Tyringham,130.0,267.0,184.0,960.0,20.0,1578.0,1042163.0,189436.0,MA
374,Lee,2351.0,5932.0,3110.0,16199.0,1214.0,97506.0,17580545.0,11704915.0,MA
375,Hinsdale,856.0,2136.0,1186.0,6309.0,148.0,11903.0,6847253.0,1428857.0,MA
384,Williamstown,2275.0,7828.0,3015.0,15651.0,1099.0,88234.0,16985445.0,10591834.0,MA
398,Stockbridge,930.0,1755.0,1242.0,6444.0,315.0,25308.0,6992943.0,3038016.0,MA
400,Austerlitz,661.0,1370.0,831.0,6688.0,76.0,8510.0,12041946.0,1021509.0,MA
402,Hillsdale,685.0,1971.0,929.0,7475.0,85.0,9932.0,13459209.0,1192227.0,MA
403,West Stockbridge,534.0,1573.0,743.0,3857.0,73.0,5893.0,4185560.0,707407.0,MA
406,Alford,201.0,411.0,297.0,1539.0,26.0,2108.0,1670684.0,253079.0,MA
407,Copake,1309.0,3573.0,1832.0,13553.0,212.0,16697.0,24403579.0,2004327.0,MA
408,Monterey,433.0,884.0,611.0,3183.0,65.0,5230.0,3454026.0,627845.0,MA
409,Mount Washington,87.0,178.0,128.0,666.0,11.0,912.0,722986.0,109520.0,MA
410,Egremont,542.0,1106.0,799.0,4146.0,71.0,5677.0,4499122.0,681537.0,MA
411,Great Barrington,2613.0,7131.0,3591.0,18635.0,1042.0,83659.0,20223898.0,10042681.0,MA
450,Rowe,165.0,365.0,240.0,1251.0,27.0,2132.0,1358153.0,255950.0,MA
451,Florida,318.0,712.0,475.0,2476.0,55.0,4411.0,2687540.0,529544.0,MA
454,Clarksburg,675.0,1844.0,894.0,4642.0,162.0,12974.0,5038028.0,1557396.0,MA
456,Stamford,302.0,657.0,365.0,2112.0,6.0,459.0,2292285.0,55073.0,MA
457,Pownal,1336.0,3528.0,1660.0,9614.0,32.0,2285.0,10434193.0,274289.0,MA
459,Monroe,56.0,124.0,81.0,424.0,9.0,723.0,460695.0,86820.0,MA
460,Charlemont,494.0,1094.0,721.0,3754.0,80.0,6396.0,4074460.0,767850.0,MA
473,Norfolk,659.0,1527.0,1077.0,5466.0,77.0,5330.0,5931551.0,639866.0,MA
495,North East,1188.0,3038.0,1505.0,8895.0,175.0,13775.0,16016073.0,1653573.0,MA
498,Ancram,584.0,1467.0,698.0,4129.0,86.0,6777.0,7434056.0,813509.0,MA
515,Berlin,719.0,1891.0,854.0,6693.0,124.0,14459.0,12051079.0,1735701.0,MA
518,Petersburgh,645.0,1769.0,749.0,5850.0,77.0,6068.0,10532473.0,728382.0,MA
531,Shelburne,841.0,2177.0,1122.0,5844.0,111.0,8906.0,6342460.0,1069093.0,MA
532,Gill,589.0,1375.0,903.0,4804.0,93.0,7465.0,5213603.0,896151.0,MA
533,Deerfield,2006.0,5096.0,3027.0,16103.0,535.0,42986.0,17476249.0,5160108.0,MA
535,Bernardston,918.0,2144.0,1408.0,7490.0,145.0,11640.0,8129105.0,1397288.0,MA
536,Greenfield Town,7729.0,17477.0,9703.0,51611.0,3011.0,241785.0,56011811.0,29024526.0,MA
537,Colrain,578.0,1281.0,844.0,4394.0,93.0,7486.0,4768494.0,898644.0,MA
538,Leyden,315.0,735.0,483.0,2568.0,50.0,3990.0,2786877.0,479028.0,MA
539,Buckland,802.0,2077.0,1070.0,5574.0,106.0,8495.0,6049521.0,1019715.0,MA
548,Athol,4774.0,11576.0,6935.0,35992.0,490.0,39009.0,39061013.0,4682722.0,MA
549,Orange,3271.0,7815.0,4353.0,22601.0,383.0,30511.0,24528102.0,3662587.0,MA
550,Templeton,3251.0,7896.0,4952.0,25698.0,395.0,24256.0,27889159.0,2911731.0,MA
553,Royalston,535.0,1286.0,851.0,4416.0,0.0,0.0,4792457.0,0.0,MA
557,Vernon,826.0,2002.0,1027.0,5947.0,21.0,1507.0,6453752.0,180962.0,MA
558,Guilford,927.0,2248.0,1153.0,6680.0,24.0,1693.0,7249994.0,203288.0,MA
559,Northfield,1256.0,3034.0,1829.0,9689.0,191.0,15337.0,10515082.0,1841099.0,MA
568,Heath,486.0,1077.0,709.0,3694.0,78.0,6293.0,4008646.0,755448.0,MA
576,Whitingham,614.0,1286.0,736.0,4264.0,16.0,1118.0,4627227.0,134191.0,MA
577,Halifax,340.0,972.0,406.0,2351.0,10.0,706.0,2551627.0,84770.0,MA
595,Erving,713.0,1659.0,1026.0,5345.0,120.0,9672.0,5801105.0,1161082.0,MA
601,Warwick,376.0,876.0,542.0,2822.0,64.0,5106.0,3062293.0,612913.0,MA
610,Readsboro,365.0,795.0,441.0,2555.0,8.0,555.0,2773106.0,66625.0,MA
635,Winchester,1702.0,4348.0,2340.0,12404.0,41.0,2885.0,13461194.0,346347.0,MA
636,Hinsdale,1780.0,4081.0,2323.0,12312.0,0.0,0.0,13362279.0,0.0,MA
664,Fitzwilliam,1045.0,2529.0,1387.0,7350.0,34.0,2376.0,7976325.0,285243.0,MA
665,Richmond,409.0,990.0,543.0,2877.0,13.0,930.0,3121998.0,111646.0,MA
666,Winchendon,3825.0,10022.0,6103.0,31675.0,360.0,22092.0,34375970.0,2651983.0,MA
709,Ashburnham,2195.0,6033.0,3700.0,19214.0,347.0,21289.0,20852461.0,2555599.0,MA
710,Ashby,1051.0,3030.0,1699.0,7626.0,232.0,14221.0,8276446.0,1707068.0,MA
711,Lunenburg,4262.0,10034.0,6887.0,35145.0,755.0,56589.0,38141908.0,6793146.0,MA
712,Westminster,2864.0,7250.0,4749.0,24649.0,655.0,49147.0,26750957.0,5899710.0,MA
713,Leominster,16716.0,41304.0,24842.0,128876.0,6495.0,488318.0,139864650.0,58619035.0,MA
714,Fitchburg,14714.0,40441.0,21986.0,105997.0,9059.0,609525.0,115035015.0,73169044.0,MA
715,Gardner,8215.0,20334.0,11603.0,60217.0,1977.0,121290.0,65351011.0,14560013.0,MA
718,New Ipswich,1777.0,4977.0,2902.0,15378.0,0.0,0.0,16688809.0,0.0,MA
719,Rindge,1816.0,5991.0,2565.0,13594.0,62.0,4336.0,14752998.0,520548.0,MA
726,Mason,559.0,1347.0,885.0,4693.0,76.0,5584.0,5093117.0,670334.0,MA
727,Townsend,3397.0,8906.0,5077.0,24333.0,1718.0,120994.0,26407357.0,14524389.0,MA
729,Groton,4042.0,10478.0,6863.0,35602.0,1230.0,93811.0,38637503.0,11261303.0,MA
730,Ayer,3417.0,7370.0,4827.0,25049.0,1787.0,134604.0,27185062.0,16158216.0,MA
731,Harvard,1923.0,6483.0,3404.0,17667.0,598.0,46684.0,19173242.0,5604047.0,MA
732,Shirley,2408.0,7235.0,3603.0,18642.0,605.0,45370.0,20231248.0,5446348.0,MA
733,Littleton,3554.0,8810.0,5517.0,29408.0,1808.0,138223.0,31915311.0,16592687.0,MA
737,Lancaster,2375.0,7896.0,3846.0,19974.0,364.0,28361.0,21677404.0,3404554.0,MA
750,Dunstable,1165.0,3128.0,2014.0,10450.0,554.0,42797.0,11341528.0,5137485.0,MA
753,Pepperell,4301.0,11407.0,7079.0,36739.0,1943.0,151747.0,39872047.0,18216122.0,MA
755,Tyngsborough,4332.0,11198.0,6979.0,36222.0,3077.0,240954.0,39311000.0,28924814.0,MA
756,Westford,8140.0,21716.0,13241.0,68295.0,6511.0,506324.0,74118739.0,60780475.0,MA
759,Bolton,1703.0,4827.0,3483.0,18076.0,357.0,27833.0,19617290.0,3341152.0,MA
761,Stow,2519.0,6488.0,4377.0,22007.0,1136.0,88639.0,23883861.0,10640462.0,MA
763,Boxborough,2157.0,4957.0,3307.0,16634.0,634.0,49452.0,18052364.0,5936299.0,MA
769,Princeton,1226.0,3412.0,2069.0,10747.0,155.0,12018.0,11663410.0,1442690.0,MA
776,Sterling,2762.0,7768.0,4588.0,23836.0,308.0,24049.0,25868634.0,2886897.0,MA
779,Acton,8638.0,21656.0,13736.0,66677.0,5527.0,424982.0,72361846.0,51015933.0,MA
793,Brookline,1669.0,4930.0,2943.0,15599.0,221.0,16191.0,16928948.0,1943557.0,MA
797,Hollis,2989.0,7653.0,5030.0,26661.0,308.0,22613.0,28933909.0,2714512.0,MA
833,Millbury,5267.0,13250.0,8556.0,44403.0,1749.0,142741.0,48189544.0,17135049.0,MA
834,Oxford,5335.0,13702.0,8827.0,45814.0,668.0,51328.0,49719928.0,6161560.0,MA
835,Auburn,6533.0,16183.0,10086.0,52347.0,2044.0,166421.0,56810860.0,19977670.0,MA
836,Worcester,69204.0,183677.0,90302.0,468687.0,38341.0,3243623.0,508650261.0,389373292.0,MA
837,Hudson,7605.0,18845.0,10453.0,61171.0,5690.0,484130.0,66386751.0,58116221.0,MA
838,Berlin,1129.0,2819.0,2003.0,10393.0,251.0,19607.0,11279122.0,2353699.0,MA
839,Marlborough,15442.0,39545.0,23288.0,120089.0,8495.0,711586.0,130328313.0,85420678.0,MA
840,Clinton,5602.0,13614.0,7829.0,40650.0,2452.0,187778.0,44115816.0,22541366.0,MA
842,Boylston,1723.0,4320.0,2831.0,14786.0,379.0,29597.0,16046501.0,3552862.0,MA
843,Northborough,5117.0,14180.0,8621.0,44743.0,1988.0,169134.0,48558345.0,20303330.0,MA
844,North Smithfield,4483.0,11852.0,6948.0,37296.0,1520.0,110142.0,40476217.0,13221688.0,MA
845,Millville,1073.0,3154.0,1870.0,9703.0,154.0,13062.0,10530109.0,1567985.0,MA
846,Mendon,2012.0,5787.0,3891.0,20195.0,302.0,26014.0,21917153.0,3122825.0,MA
847,Woonsocket,17239.0,41272.0,19659.0,105520.0,10659.0,772458.0,114517632.0,92727958.0,MA
848,Bellingham,6342.0,16165.0,10859.0,55442.0,2980.0,256704.0,60168940.0,30815468.0,MA
849,Blackstone,3343.0,9028.0,5323.0,27625.0,1175.0,100502.0,29980973.0,12064485.0,MA
852,West Boylston,2056.0,7660.0,3022.0,15700.0,844.0,71799.0,17038305.0,8618909.0,MA
853,Shrewsbury,12909.0,35269.0,19325.0,105459.0,6967.0,592733.0,114451668.0,71153271.0,MA
862,East Brookfield,826.0,2058.0,1277.0,6629.0,182.0,13693.0,7193904.0,1643733.0,MA
863,Southbridge Town,6835.0,16824.0,9508.0,49345.0,3039.0,228975.0,53551983.0,27486793.0,MA
864,Dudley,3945.0,11276.0,6589.0,34197.0,1027.0,77383.0,37112507.0,9289206.0,MA
867,Charlton,4834.0,12827.0,8971.0,46560.0,438.0,33551.0,50530463.0,4027525.0,MA
868,Leicester,4381.0,10934.0,6684.0,34691.0,639.0,49810.0,37649145.0,5979374.0,MA
883,Thompson,3701.0,9446.0,6208.0,31512.0,71.0,5504.0,34199139.0,660723.0,MA
884,Sutton,3213.0,8908.0,5818.0,30197.0,441.0,36784.0,32771613.0,4415696.0,MA
886,Douglas,3152.0,8342.0,5503.0,28558.0,369.0,28778.0,30992976.0,3454563.0,MA
887,Burrillville,5937.0,15945.0,8743.0,47038.0,1187.0,86028.0,51048714.0,10326981.0,MA
888,Uxbridge,4660.0,13233.0,7979.0,41412.0,2080.0,176983.0,44942693.0,21245539.0,MA
895,Grafton,6807.0,17472.0,10893.0,56532.0,3337.0,283891.0,61352783.0,34079043.0,MA
896,Westborough,6757.0,18285.0,9821.0,49899.0,3143.0,267395.0,54153688.0,32098850.0,MA
897,Upton,2703.0,7364.0,4753.0,23796.0,910.0,77460.0,25825100.0,9298557.0,MA
899,Holden,6479.0,17197.0,10025.0,52283.0,1407.0,119705.0,56740968.0,14369731.0,MA
900,Paxton,1502.0,4767.0,2440.0,12665.0,0.0,0.0,13745327.0,0.0,MA
950,Northbridge,6093.0,15475.0,9558.0,49604.0,2385.0,202915.0,53833876.0,24358467.0,MA
971,Webster,6520.0,16752.0,9597.0,49809.0,2642.0,199070.0,54056586.0,23896908.0,MA
1008,Woodstock,3144.0,7922.0,5590.0,28374.0,0.0,0.0,30793155.0,0.0,MA
1037,Milford,11072.0,27925.0,17493.0,89870.0,6200.0,529045.0,97533281.0,63508000.0,MA
1040,Hopedale,2280.0,5909.0,4002.0,20768.0,716.0,61710.0,22539056.0,7407861.0,MA
1041,Hopkinton,5620.0,14691.0,10332.0,50271.0,3402.0,289417.0,54557252.0,34742348.0,MA
1067,Southborough,3330.0,9671.0,6258.0,31327.0,1570.0,126991.0,33998347.0,15244321.0,MA
1130,Ashland,6726.0,16305.0,10835.0,52879.0,4808.0,396732.0,57387571.0,47624751.0,MA
1131,Wayland,5078.0,12939.0,9318.0,44675.0,4301.0,335542.0,48484058.0,40279401.0,MA
1133,Framingham,27688.0,67844.0,39472.0,189351.0,12888.0,1005373.0,205495853.0,120687720.0,MA
1134,Natick,14056.0,32729.0,21528.0,103446.0,7341.0,572625.0,112266653.0,68739487.0,MA
1136,Sudbury,6133.0,17482.0,11023.0,52940.0,5153.0,401985.0,57454073.0,48255415.0,MA
1137,Sherborn,1449.0,4102.0,3097.0,14847.0,702.0,56331.0,16113193.0,6762103.0,MA
1148,Carlisle,1762.0,4814.0,3335.0,15989.0,1057.0,80822.0,17352253.0,9702100.0,MA
1149,Concord,6758.0,17523.0,10540.0,50670.0,4803.0,361859.0,54990043.0,43438472.0,MA
1153,Maynard,4375.0,10083.0,6132.0,29400.0,3381.0,263758.0,31906485.0,31662238.0,MA
1159,Holliston,5119.0,13512.0,9219.0,44287.0,3293.0,281420.0,48063517.0,33782374.0,MA
1163,Bedford,5133.0,13192.0,7683.0,37622.0,3953.0,299879.0,40830029.0,35998276.0,MA
1165,Burlington,9271.0,24207.0,14427.0,69167.0,5269.0,402038.0,75064525.0,48261757.0,MA
1166,Lexington,11602.0,31129.0,19906.0,95540.0,7108.0,535475.0,103686017.0,64279861.0,MA
1167,Billerica,14065.0,39930.0,22590.0,114900.0,10959.0,859519.0,124696835.0,103178924.0,MA
1168,Lincoln,2460.0,6480.0,4023.0,19289.0,1730.0,133930.0,20933236.0,16077300.0,MA
1184,Chelmsford,13691.0,33610.0,19297.0,99668.0,10439.0,834388.0,108166544.0,100162236.0,MA
1195,Millis,3075.0,7852.0,5357.0,25685.0,1365.0,117631.0,27875072.0,14120776.0,MA
1197,Medway,4602.0,12670.0,8041.0,39199.0,2664.0,230713.0,42541688.0,27695359.0,MA
1246,Wellesley,8609.0,27818.0,15747.0,75881.0,8907.0,684161.0,82351587.0,82128468.0,MA
1247,Dover,1966.0,5564.0,4368.0,20941.0,335.0,26883.0,22726517.0,3227094.0,MA
1249,Weston,3834.0,11229.0,7507.0,35991.0,3939.0,307236.0,39059339.0,36881425.0,MA
1258,Medfield,4115.0,12004.0,7602.0,36447.0,2923.0,253284.0,39554994.0,30404903.0,MA
1266,Waltham,23646.0,62699.0,30221.0,144890.0,13709.0,1032808.0,157243802.0,123981026.0,MA
1294,Winchester,7741.0,21205.0,11624.0,55731.0,6526.0,491684.0,60482540.0,59023096.0,MA
1295,Wilmington,7867.0,22116.0,12916.0,72576.0,2880.0,226942.0,78764738.0,27242719.0,MA
1298,Woburn,14952.0,39220.0,20388.0,97844.0,7530.0,568797.0,106186807.0,68279888.0,MA
1299,Stoneham,9007.0,21413.0,12373.0,59967.0,4057.0,305389.0,65080106.0,36659665.0,MA
1300,Reading,9351.0,24504.0,11882.0,73506.0,4669.0,356733.0,79773958.0,42823222.0,MA
1307,Andover,12179.0,32945.0,19959.0,103586.0,8107.0,685634.0,112418960.0,82305297.0,MA
1308,Tewksbury,11366.0,28778.0,17803.0,92394.0,8367.0,690428.0,100272074.0,82880837.0,MA
1309,North Andover,10900.0,28156.0,18005.0,93445.0,7024.0,593097.0,101413230.0,71196986.0,MA
1310,North Reading,5391.0,14703.0,7074.0,46155.0,2995.0,237279.0,50090887.0,28483605.0,MA
1311,Lawrence,25759.0,79337.0,30310.0,157304.0,21721.0,1891632.0,170717031.0,227076655.0,MA
1313,Dracut,10988.0,29249.0,16743.0,86896.0,8052.0,653310.0,94305761.0,78425144.0,MA
1314,Methuen Town,17394.0,49043.0,24007.0,124596.0,13244.0,1150148.0,135220381.0,138066871.0,MA
1322,Lowell,38735.0,109871.0,47465.0,246342.0,28242.0,2276572.0,267346616.0,273285790.0,MA
1331,Pelham,4506.0,12742.0,7770.0,44402.0,467.0,32763.0,48188048.0,3932997.0,MA
1334,Nashua,34889.0,87279.0,44978.0,238377.0,17691.0,1298852.0,258702967.0,155917724.0,MA
1339,Haverhill,23781.0,62340.0,30078.0,156103.0,17696.0,1447902.0,169413901.0,173810020.0,MA
1340,Groveland,2274.0,6401.0,3627.0,18822.0,1641.0,130756.0,20427013.0,15696340.0,MA
1341,Plaistow,2873.0,7667.0,4172.0,22580.0,855.0,59999.0,24505096.0,7202411.0,MA
1342,West Newbury,1590.0,4222.0,2941.0,15265.0,421.0,33558.0,16566432.0,4028441.0,MA
1343,Merrimac,2641.0,6297.0,4141.0,21490.0,1735.0,151126.0,23322630.0,18141583.0,MA
1344,Atkinson,2686.0,6739.0,3980.0,21540.0,423.0,29714.0,23377097.0,3566927.0,MA
1346,Salem,11240.0,28893.0,15409.0,92127.0,1503.0,95222.0,99982588.0,11430692.0,MA
1349,Rowley,2209.0,5815.0,3300.0,17152.0,1350.0,107529.0,18614470.0,12908067.0,MA
1351,Newbury,2797.0,6647.0,4225.0,21928.0,896.0,71381.0,23797610.0,8568757.0,MA
1352,Boxford,2704.0,7953.0,5144.0,26697.0,1977.0,156098.0,28973667.0,18738463.0,MA
1353,Georgetown,3153.0,8083.0,5025.0,26081.0,1904.0,151713.0,28304665.0,18212023.0,MA
1379,Middleton,2853.0,8839.0,4535.0,23945.0,1433.0,113534.0,25986448.0,13628944.0,MA
1398,Newton,1796.0,4596.0,2355.0,14766.0,177.0,10847.0,16025253.0,1302091.0,MA
1401,Amesbury Town,6970.0,17082.0,10146.0,52658.0,4737.0,396797.0,57148104.0,47632629.0,MA
