,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id
56339,Cash,132.0,423.0,182.0,1807.0,35.0,3004.0,2883229.0,360549.0,AR
56340,McDougal,72.0,143.0,98.0,948.0,7.0,595.0,1513066.0,71435.0,AR
56341,Corning,1434.0,3177.0,1762.0,17094.0,470.0,40616.0,27276369.0,4875615.0,AR
56342,Datto,33.0,68.0,43.0,419.0,7.0,587.0,667883.0,70522.0,AR
56345,O'Kean,79.0,198.0,103.0,996.0,13.0,1164.0,1588695.0,139698.0,AR
56346,Delaplaine,47.0,63.0,71.0,692.0,7.0,575.0,1104271.0,68991.0,AR
56347,Egypt,53.0,62.0,73.0,730.0,14.0,1213.0,1164748.0,145652.0,AR
56348,Waldenburg,26.0,46.0,37.0,361.0,8.0,680.0,576485.0,81628.0,AR
56349,Fisher,92.0,355.0,134.0,1305.0,28.0,2457.0,2082784.0,294916.0,AR
56350,Greenway,84.0,209.0,109.0,1056.0,24.0,2258.0,1684936.0,271010.0,AR
56351,Harrisburg,797.0,2419.0,1153.0,11245.0,225.0,19417.0,17942243.0,2330884.0,AR
56352,Minturn,47.0,84.0,62.0,605.0,9.0,786.0,966146.0,94384.0,AR
56354,Portia,214.0,597.0,252.0,2462.0,74.0,6381.0,3927768.0,765936.0,AR
56355,Hoxie,1126.0,2704.0,1297.0,12647.0,420.0,36260.0,20180424.0,4352808.0,AR
56356,Walnut Ridge,1720.0,4723.0,2129.0,20760.0,664.0,57378.0,33125736.0,6887850.0,AR
56358,Knobel,100.0,197.0,129.0,1256.0,20.0,1762.0,2003648.0,211566.0,AR
56359,Lafe,154.0,440.0,249.0,2449.0,12.0,1066.0,3907535.0,127925.0,AR
56361,Leachville,707.0,1862.0,1003.0,9799.0,281.0,25099.0,15636474.0,3012982.0,AR
56362,Lynn,126.0,260.0,164.0,1597.0,12.0,1071.0,2547958.0,128550.0,AR
56365,Manila,1157.0,3265.0,1640.0,16030.0,460.0,41058.0,25578844.0,4928771.0,AR
56366,Marmaduke,435.0,1293.0,601.0,5903.0,125.0,11976.0,9418593.0,1437647.0,AR
56368,Maynard,174.0,400.0,226.0,2190.0,30.0,2560.0,3495129.0,307336.0,AR
56371,Monette,548.0,1752.0,752.0,7336.0,211.0,18814.0,11705871.0,2258516.0,AR
56373,Paragould,10629.0,27521.0,15517.0,152295.0,1758.0,157228.0,243008528.0,18874064.0,AR
56375,Oak Grove Heights,299.0,930.0,485.0,4760.0,23.0,2071.0,7595546.0,248664.0,AR
56376,Peach Orchard,70.0,98.0,90.0,875.0,14.0,1228.0,1396482.0,147455.0,AR
56377,Piggott,1637.0,3674.0,1972.0,19131.0,880.0,84295.0,30526509.0,10118974.0,AR
56378,Pollard,69.0,214.0,94.0,912.0,6.0,573.0,1455969.0,68739.0,AR
56379,St. Francis,97.0,175.0,126.0,1219.0,27.0,2607.0,1945335.0,312893.0,AR
56380,Pocahontas,2826.0,6470.0,3202.0,31068.0,1013.0,87445.0,49573013.0,10497186.0,AR
56383,Powhatan,22.0,74.0,29.0,276.0,4.0,346.0,439673.0,41590.0,AR
56385,Ravenden,193.0,442.0,256.0,2470.0,36.0,3106.0,3941352.0,372821.0,AR
56386,Ravenden Springs,60.0,270.0,84.0,817.0,11.0,988.0,1303925.0,118571.0,AR
56387,Nimmons,34.0,49.0,45.0,432.0,10.0,924.0,689292.0,110868.0,AR
56388,Rector,790.0,1955.0,976.0,9472.0,473.0,45307.0,15114119.0,5438743.0,AR
56389,Smithville,35.0,97.0,47.0,453.0,7.0,569.0,722319.0,68326.0,AR
56391,Strawberry,132.0,371.0,172.0,1673.0,13.0,1122.0,2670120.0,134713.0,AR
56393,Success,61.0,114.0,79.0,771.0,13.0,1081.0,1229511.0,129825.0,AR
56394,Swifton,353.0,670.0,435.0,4234.0,116.0,10044.0,6756017.0,1205745.0,AR
56395,Trumann,2908.0,7143.0,3840.0,37449.0,992.0,85666.0,59755460.0,10283573.0,AR
56399,Sedgwick,68.0,163.0,89.0,869.0,13.0,1157.0,1387364.0,138916.0,AR
56404,College City,73.0,433.0,86.0,839.0,25.0,2174.0,1338222.0,260960.0,AR
56408,Weiner,266.0,745.0,385.0,3753.0,82.0,7063.0,5988004.0,847882.0,AR
56410,Williford,36.0,57.0,49.0,471.0,2.0,223.0,750914.0,26829.0,AR
56411,Cushman,200.0,446.0,279.0,2721.0,25.0,2159.0,4340992.0,259124.0,AR
56412,Moorefield,65.0,188.0,86.0,839.0,15.0,1284.0,1338547.0,154178.0,AR
56413,Magness,82.0,175.0,113.0,1102.0,16.0,1346.0,1758911.0,161563.0,AR
