,zip,city,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,state_id
36249,37694,Watauga,2.0,90.0,1592.0,37.0,8315.0,TN
36250,37701,Alcoa,68.0,1976.0,34793.0,807.0,181679.0,TN
36251,37701,Maryville,109.0,5847.0,102972.0,2387.0,537699.0,TN
36252,37705,Norris,10.0,322.0,5667.0,131.0,29592.0,TN
36253,37708,Bean Station,18.0,486.0,8556.0,198.0,44676.0,TN
36254,37709,Blaine,13.0,45.0,786.0,18.0,4103.0,TN
36255,37711,Mosheim,10.0,88.0,1558.0,36.0,8137.0,TN
36256,37711,Bulls Gap,6.0,2699.0,47528.0,1102.0,248182.0,TN
36257,37714,Caryville,15.0,771.0,13579.0,315.0,70907.0,TN
36258,37714,Lake City,8.0,504.0,8881.0,206.0,46374.0,TN
36259,37714,Jacksboro,5.0,531.0,9359.0,217.0,48872.0,TN
36260,37716,Clinton,61.0,19191.0,337968.0,7836.0,1764793.0,TN
36261,37716,Norris,10.0,322.0,5667.0,131.0,29592.0,TN
36262,37716,Oliver Springs,11.0,619.0,10894.0,253.0,56888.0,TN
36263,37716,Oak Ridge,143.0,16013.0,282002.0,6538.0,1472554.0,TN
36264,37721,Blaine,13.0,45.0,786.0,18.0,4103.0,TN
36265,37721,Plainview,5.0,15.0,269.0,6.0,1403.0,TN
36266,37723,Crab Orchard,4.0,430.0,7580.0,176.0,39583.0,TN
36267,37724,Harrogate,14.0,199.0,3500.0,81.0,18277.0,TN
36268,37724,Cumberland Gap,1.0,0.0,5.0,0.0,27.0,TN
36269,37725,Dandridge,23.0,648.0,11414.0,265.0,59602.0,TN
36270,37737,Friendsville,10.0,53.0,935.0,22.0,4882.0,TN
36271,37737,Maryville,109.0,5847.0,102972.0,2387.0,537699.0,TN
36272,37738,Gatlinburg,43.0,265.0,4667.0,108.0,24369.0,TN
36273,37738,Pittman Center,4.0,3.0,50.0,1.0,260.0,TN
36274,37742,Greenback,12.0,795.0,14005.0,325.0,73132.0,TN
36275,37742,Vonore,29.0,5559.0,97904.0,2270.0,511234.0,TN
36276,37743,Mosheim,10.0,88.0,1558.0,36.0,8137.0,TN
36277,37743,Greeneville,152.0,13069.0,230154.0,5336.0,1201816.0,TN
36278,37745,Baileyton,2.0,1.0,20.0,0.0,105.0,TN
36279,37745,Tusculum,6.0,105.0,1858.0,43.0,9700.0,TN
36280,37745,Greeneville,152.0,13069.0,230154.0,5336.0,1201816.0,TN
36281,37748,Oakdale,79.5,7320.0,128914.5,2988.75,673163.25,TN
36282,37748,Oak Ridge,143.0,16013.0,282002.0,6538.0,1472554.0,TN
36283,37748,Kingston,17.0,93.0,1644.0,38.0,8583.0,TN
36284,37748,Rockwood,10.0,409.0,7209.0,167.0,37641.0,TN
36285,37748,Harriman,18.0,1065.0,18759.0,435.0,97954.0,TN
36286,37752,Harrogate,14.0,199.0,3500.0,81.0,18277.0,TN
36287,37752,Cumberland Gap,1.0,0.0,5.0,0.0,27.0,TN
36288,37754,Clinton,61.0,19191.0,337968.0,7836.0,1764793.0,TN
36289,37755,Oneida,54.0,786.0,13848.0,321.0,72314.0,TN
36290,37755,Huntsville,29.0,35.0,620.0,14.0,3235.0,TN
36291,37756,Huntsville,29.0,35.0,620.0,14.0,3235.0,TN
36292,37757,Caryville,15.0,771.0,13579.0,315.0,70907.0,TN
36293,37757,La Follette,20.0,410.0,7214.0,167.0,37671.0,TN
36294,37757,Jacksboro,5.0,531.0,9359.0,217.0,48872.0,TN
36295,37760,New Market,6.0,42.0,745.0,17.0,3888.0,TN
36296,37760,Jefferson City,42.0,1232.0,21702.0,503.0,113324.0,TN
36297,37760,Dandridge,23.0,648.0,11414.0,265.0,59602.0,TN
36298,37762,Jellico,25.0,132.0,2326.0,54.0,12144.0,TN
36299,37763,Oak Ridge,143.0,16013.0,282002.0,6538.0,1472554.0,TN
36300,37763,Kingston,17.0,93.0,1644.0,38.0,8583.0,TN
36301,37763,Harriman,18.0,1065.0,18759.0,435.0,97954.0,TN
36302,37764,Sevierville,110.0,1083.0,19074.0,442.0,99598.0,TN
36303,37766,La Follette,20.0,410.0,7214.0,167.0,37671.0,TN
36304,37769,Lake City,8.0,504.0,8881.0,206.0,46374.0,TN
36305,37771,Lenoir City,35.0,8016.0,141165.0,3273.0,737132.0,TN
36306,37771,Oak Ridge,143.0,16013.0,282002.0,6538.0,1472554.0,TN
36307,37772,Farragut,79.0,1851.0,32592.0,756.0,170189.0,TN
36308,37772,Friendsville,10.0,53.0,935.0,22.0,4882.0,TN
36309,37772,Lenoir City,35.0,8016.0,141165.0,3273.0,737132.0,TN
36310,37774,Loudon,43.0,15834.0,278847.0,6465.0,1456079.0,TN
36311,37777,Alcoa,68.0,1976.0,34793.0,807.0,181679.0,TN
36312,37777,Rockford,11.0,664.0,11695.0,271.0,61067.0,TN
36313,37777,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36314,37777,Louisville,16.0,49.0,864.0,20.0,4511.0,TN
36315,37779,Blaine,13.0,45.0,786.0,18.0,4103.0,TN
36316,37779,Maynardville,26.0,158.0,2790.0,65.0,14570.0,TN
36317,37779,Luttrell,4.0,1.0,23.0,1.0,118.0,TN
36318,37779,Plainview,5.0,15.0,269.0,6.0,1403.0,TN
36319,37801,Alcoa,68.0,1976.0,34793.0,807.0,181679.0,TN
36320,37801,Louisville,16.0,49.0,864.0,20.0,4511.0,TN
36321,37801,Sweetwater,39.0,3242.0,57101.0,1324.0,298168.0,TN
36322,37801,Greenback,12.0,795.0,14005.0,325.0,73132.0,TN
36323,37801,Maryville,109.0,5847.0,102972.0,2387.0,537699.0,TN
36324,37801,Vonore,29.0,5559.0,97904.0,2270.0,511234.0,TN
36325,37803,Maryville,109.0,5847.0,102972.0,2387.0,537699.0,TN
36326,37804,Alcoa,68.0,1976.0,34793.0,807.0,181679.0,TN
36327,37804,Rockford,11.0,664.0,11695.0,271.0,61067.0,TN
36328,37804,Maryville,109.0,5847.0,102972.0,2387.0,537699.0,TN
36329,37806,Blaine,13.0,45.0,786.0,18.0,4103.0,TN
36330,37806,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36331,37807,Maynardville,26.0,158.0,2790.0,65.0,14570.0,TN
36332,37809,Mosheim,10.0,88.0,1558.0,36.0,8137.0,TN
36333,37810,Mosheim,10.0,88.0,1558.0,36.0,8137.0,TN
36334,37811,Bean Station,18.0,486.0,8556.0,198.0,44676.0,TN
36335,37813,Morristown,195.0,9925.0,174796.0,4053.0,912746.0,TN
36336,37813,White Pine,8.0,265.0,4663.0,108.0,24350.0,TN
36337,37814,Morristown,195.0,9925.0,174796.0,4053.0,912746.0,TN
36338,37818,Mosheim,10.0,88.0,1558.0,36.0,8137.0,TN
36339,37820,New Market,6.0,42.0,745.0,17.0,3888.0,TN
36340,37820,Jefferson City,42.0,1232.0,21702.0,503.0,113324.0,TN
36341,37820,Sevierville,110.0,1083.0,19074.0,442.0,99598.0,TN
36342,37821,Newport,36.0,1248.0,21986.0,510.0,114805.0,TN
36343,37825,New Tazewell,26.0,685.0,12066.0,280.0,63008.0,TN
36344,37825,Tazewell,13.0,1743.0,30689.0,712.0,160252.0,TN
36345,37826,Niota,5.0,235.0,4131.0,96.0,21569.0,TN
36346,37828,Norris,10.0,322.0,5667.0,131.0,29592.0,TN
36347,37829,Oakdale,42.25,4297.25,75673.5,1754.5,395150.75,TN
36348,37830,Oak Ridge,143.0,16013.0,282002.0,6538.0,1472554.0,TN
36349,37840,Oliver Springs,11.0,619.0,10894.0,253.0,56888.0,TN
36350,37840,Oak Ridge,143.0,16013.0,282002.0,6538.0,1472554.0,TN
36351,37841,Oneida,54.0,786.0,13848.0,321.0,72314.0,TN
36352,37841,Winfield,17.0,27.0,473.0,11.0,2469.0,TN
36353,37843,Parrottsville,27.75,2222.5,39141.0,907.5,204386.25,TN
36354,37846,Philadelphia,5.0,61.0,1078.0,25.0,5630.0,TN
36355,37846,Lenoir City,35.0,8016.0,141165.0,3273.0,737132.0,TN
36356,37847,Caryville,15.0,771.0,13579.0,315.0,70907.0,TN
36357,37847,Jellico,25.0,132.0,2326.0,54.0,12144.0,TN
36358,37849,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36359,37849,Oak Ridge,143.0,16013.0,282002.0,6538.0,1472554.0,TN
36360,37853,Alcoa,68.0,1976.0,34793.0,807.0,181679.0,TN
36361,37853,Rockford,11.0,664.0,11695.0,271.0,61067.0,TN
36362,37854,Rockwood,10.0,409.0,7209.0,167.0,37641.0,TN
36363,37857,Rogersville,22.0,367.0,6462.0,150.0,33741.0,TN
36364,37857,Surgoinsville,6.0,18.0,313.0,7.0,1632.0,TN
36365,37857,Kingsport,175.0,50112.0,882525.0,20461.0,4608349.0,TN
36366,37860,Morristown,195.0,9925.0,174796.0,4053.0,912746.0,TN
36367,37861,Rutledge,16.0,68.0,1196.0,28.0,6245.0,TN
36368,37862,Pigeon Forge,49.0,314.0,5529.0,128.0,28871.0,TN
36369,37862,Sevierville,110.0,1083.0,19074.0,442.0,99598.0,TN
36370,37863,Pigeon Forge,49.0,314.0,5529.0,128.0,28871.0,TN
36371,37863,Sevierville,110.0,1083.0,19074.0,442.0,99598.0,TN
36372,37869,Sneedville,10.0,19.0,337.0,8.0,1762.0,TN
36373,37871,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36374,37871,Sevierville,110.0,1083.0,19074.0,442.0,99598.0,TN
36375,37872,Sunbright,41.0,70.0,1237.0,29.0,6461.0,TN
36376,37873,Surgoinsville,6.0,18.0,313.0,7.0,1632.0,TN
36377,37873,Church Hill,25.0,2314.0,40760.0,945.0,212839.0,TN
36378,37874,Sweetwater,39.0,3242.0,57101.0,1324.0,298168.0,TN
36379,37876,Pigeon Forge,49.0,314.0,5529.0,128.0,28871.0,TN
36380,37876,Gatlinburg,43.0,265.0,4667.0,108.0,24369.0,TN
36381,37876,Pittman Center,4.0,3.0,50.0,1.0,260.0,TN
36382,37876,Sevierville,110.0,1083.0,19074.0,442.0,99598.0,TN
36383,37877,Morristown,195.0,9925.0,174796.0,4053.0,912746.0,TN
36384,37877,White Pine,8.0,265.0,4663.0,108.0,24350.0,TN
