state_id,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,elec_degree,gas_degree
OR,La Grande,5207.0,13079.0,5043.0,51727.0,2188.0,164898.0,63801212.0,19794787.0,2,1
OR,La Pine,685.0,1865.0,864.0,9761.0,98.0,10646.0,12038870.0,1277933.0,1,1
OR,Lafayette,1163.0,3885.0,1544.0,13549.0,393.0,33430.0,16711057.0,4012979.0,1,1
OR,Lake Oswego,16041.0,38065.0,18483.0,148728.62,8909.0,757615.0,199989434.0,90946165.0,3,2
OR,Lakeside,731.0,1638.0,1008.0,9230.0,76.0,6459.0,11384164.0,775297.0,1,1
OR,Lakeview,1043.0,2867.0,1255.0,11347.0,21.0,1830.0,13996034.0,219730.0,1,1
OR,Lebanon,6352.0,16162.0,7059.0,63887.0,1750.0,148775.0,78799837.0,17859348.0,2,1
OR,Lexington,68.0,188.0,89.0,809.0,5.0,523.0,997421.0,62775.0,1,1
OR,Lincoln City,3461.0,8452.0,3117.0,28195.0,943.0,80205.0,34775928.0,9628073.0,1,1
OR,Lonerock,17.0,15.0,21.0,195.0,1.0,108.0,240331.0,12976.0,1,1
OR,Long Creek,60.0,147.0,67.0,658.0,1.0,92.0,811915.0,11040.0,1,1
OR,Lostine,84.0,399.0,105.0,963.0,2.0,178.0,1187982.0,21410.0,1,1
OR,Lowell,405.0,1147.0,574.0,5105.0,33.0,2774.0,6296090.0,333046.0,1,1
OR,Lyons,424.0,1248.0,552.0,4922.0,94.0,8022.0,6070886.0,962970.0,1,1
OR,Madras,2165.0,6504.0,2874.0,26002.0,318.0,34702.0,32070997.0,4165742.0,1,1
OR,Malin,261.0,828.0,364.0,3294.0,48.0,3650.0,4062836.0,438209.0,1,1
OR,Manzanita,499.0,332.0,589.0,5247.0,29.0,2508.0,6472194.0,301052.0,1,1
OR,Maupin,198.0,628.0,275.0,2478.0,17.0,1424.0,3056517.0,170924.0,1,1
OR,Maywood Park,307.0,939.0,349.0,3059.0,119.0,10090.0,3773177.0,1211243.0,1,1
OR,McMinnville,11889.0,33724.0,15016.0,133270.0,1912.0,162630.0,164378586.0,19522497.0,3,1
OR,Medford,29855.0,78856.0,37072.95,148728.62,10857.0,818126.0,222856152.36,98210009.0,3,2
OR,Merrill,311.0,818.0,423.0,3827.0,0.0,0.0,4720042.0,0.0,1,1
OR,Metolius,177.0,1320.0,241.0,2218.0,19.0,2073.0,2736047.0,248868.0,1,1
OR,Mill City,620.0,1828.0,817.0,7281.0,131.0,11140.0,8980428.0,1337310.0,1,1
OR,Millersburg,513.0,1963.0,593.0,5360.0,170.0,14418.0,6611197.0,1730807.0,1,1
OR,Milton-Freewater,2500.0,7059.0,3398.0,30731.0,327.0,35654.0,37904159.0,4279952.0,1,1
OR,Milwaukie,8905.0,20643.0,10028.0,87970.0,2978.0,253226.0,108503831.0,30397952.0,2,1
OR,Mitchell,65.0,108.0,72.0,719.0,1.0,94.0,886938.0,11257.0,1,1
OR,Molalla,3090.0,8867.0,4355.0,38202.0,1056.0,89839.0,47118894.0,10784526.0,1,1
OR,Monmouth,3316.0,9919.0,3515.0,32019.0,660.0,56102.0,39493311.0,6734578.0,1,1
OR,Monroe,253.0,653.0,359.0,3265.0,19.0,1626.0,4027563.0,195241.0,1,1
OR,Monument,44.0,95.0,49.0,482.0,1.0,67.0,594438.0,8083.0,1,1
OR,Moro,143.0,380.0,185.0,1674.0,11.0,895.0,2065324.0,107421.0,1,1
OR,Mosier,181.0,596.0,225.0,2347.0,0.0,0.0,2894932.0,0.0,1,1
OR,Mount Angel,1158.0,3429.0,1534.0,13457.0,345.0,29302.0,16597988.0,3517545.0,1,1
OR,Mount Vernon,233.0,601.0,267.0,2789.0,5.0,395.0,3439534.0,47471.0,1,1
OR,Myrtle Creek,1282.0,3438.0,1592.0,14395.0,343.0,25855.0,17754638.0,3103650.0,1,1
OR,Myrtle Point,1004.0,2505.0,1298.0,11717.0,97.0,8127.0,14451706.0,975593.0,1,1
OR,Nehalem,60.0,323.0,71.0,633.0,4.0,303.0,780693.0,36314.0,1,1
OR,Newberg,7798.0,22749.0,9344.0,81966.0,2419.0,205676.0,101098938.0,24689890.0,2,1
OR,Newport,4358.0,10139.0,4040.0,43219.0,707.0,60082.0,53307637.0,7212463.0,1,1
OR,North Bend,3816.0,9635.0,5278.0,47736.0,408.0,34672.0,58878657.0,4162096.0,1,1
OR,North Plains,688.0,2072.0,973.0,8609.0,191.0,16267.0,10618282.0,1952762.0,1,1
OR,North Powder,176.0,537.0,202.0,1835.0,72.0,5460.0,2263314.0,655484.0,1,1
OR,Nyssa,1009.0,3202.0,1431.0,14208.0,310.0,33757.0,17524158.0,4052286.0,1,1
OR,Oakland,358.0,737.0,479.0,4363.0,74.0,5568.0,5381567.0,668394.0,1,1
OR,Oakridge,1440.0,3202.0,1895.0,18737.0,26.0,2193.0,23110711.0,263219.0,1,1
OR,Ontario,4292.0,11045.0,5355.0,53159.0,836.0,89038.0,65567472.0,10688382.0,2,1
OR,Oregon City,12612.0,35057.0,14664.0,128642.0,5233.0,444967.0,158669752.0,53415044.0,3,1
OR,Paisley,101.0,372.0,134.0,1238.0,2.0,145.0,1526695.0,17362.0,1,1
OR,Pendleton,5991.0,16861.0,6668.0,60501.0,2007.0,218806.0,74623778.0,26266008.0,2,1
OR,Philomath,1757.0,4584.0,1920.0,17449.0,511.0,43419.0,21522574.0,5212175.0,1,1
OR,Phoenix,2196.0,4528.0,2935.0,26552.0,446.0,33635.0,32749758.0,4037595.0,1,1
OR,Pilot Rock,444.0,1336.0,536.0,4878.0,128.0,13930.0,6016759.0,1672202.0,1,1
OR,Port Orford,567.0,1243.0,787.0,7091.0,32.0,2713.0,8745918.0,325680.0,1,1
OR,Portland,31282.47,84618.63,37072.95,148728.62,20893.07,1794249.7,222856152.36,215386679.56,3,3
OR,Powers,337.0,875.0,436.0,3933.0,33.0,2728.0,4851370.0,327502.0,1,1
OR,Prairie City,255.0,868.0,284.0,2798.0,5.0,391.0,3450639.0,46919.0,1,1
OR,Prescott,29.0,44.0,30.0,408.0,4.0,352.0,503697.0,42225.0,1,1
OR,Prineville,3966.0,9419.0,4743.0,43628.0,793.0,86421.0,53812101.0,10374226.0,1,1
OR,Rainier,752.0,1971.0,782.0,10618.0,105.0,9145.0,13096122.0,1097850.0,1,1
OR,Redmond,10759.0,27998.0,12600.0,114708.0,3399.0,370499.0,141483427.0,44475752.0,3,1
OR,Reedsport,1631.0,4088.0,1960.0,20203.0,89.0,7534.0,24918952.0,904385.0,1,1
OR,Richland,71.0,174.0,89.0,811.0,8.0,590.0,999968.0,70776.0,1,1
OR,Riddle,464.0,1259.0,592.0,5359.0,96.0,7266.0,6609510.0,872205.0,1,1
OR,Rivergrove,130.0,438.0,162.0,1420.0,72.0,6114.0,1751044.0,733883.0,1,1
OR,Rockaway Beach,682.0,1245.0,768.0,7937.0,32.0,2695.0,9789311.0,323506.0,1,1
OR,Rogue River,1117.0,2472.0,1619.0,14641.0,180.0,13590.0,18058408.0,1631326.0,1,1
OR,Roseburg,9484.0,22201.0,10905.0,98699.0,3058.0,230451.0,121737023.0,27663947.0,2,1
OR,Rufus,123.0,212.0,160.0,1448.0,9.0,774.0,1786568.0,92923.0,1,1
OR,Salem,31282.47,84618.63,37072.95,148728.62,20216.0,1719117.0,222856152.36,206367466.0,3,3
OR,Sandy,3846.0,10369.0,5058.0,44372.0,1619.0,137640.0,54728957.0,16522678.0,1,1
OR,Scappoose,2534.0,6901.0,2636.0,23327.0,797.0,68745.0,28772191.0,8252275.0,1,1
OR,Scio,298.0,768.0,406.0,3675.0,40.0,3411.0,4532898.0,409442.0,1,1
OR,Scotts Mills,128.0,416.0,189.0,1685.0,26.0,2218.0,2077728.0,266302.0,1,1
OR,Seaside,2667.0,6514.0,2426.0,21943.0,649.0,55228.0,27064986.0,6629754.0,1,1
OR,Seneca,106.0,180.0,122.0,1270.0,2.0,180.0,1566763.0,21624.0,1,1
OR,Shady Cove,1344.0,2994.0,1979.0,17901.0,122.0,9224.0,22079455.0,1107302.0,1,1
OR,Shaniko,17.0,7.0,24.0,217.0,1.0,125.0,267724.0,14971.0,1,1
