,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id,lof_score_100,lof_score_500,lof_score_1000
58702,Broaddus,43.0,223.0,78.0,703.0,4.0,344.0,940751.0,41301.0,TX,-1.0037839284667605,-1.0081162449603722,-1.0022034124398096
58703,Browndell,59.0,245.0,107.0,1072.0,0.0,0.0,1709782.0,0.0,TX,-1.152689306364141,-1.0358664432037943,-1.0220754194195734
58704,Center,1833.0,5421.0,2544.0,26686.0,502.0,42378.0,56624916.0,5087148.0,TX,-0.9644046908020446,-1.035386502263176,-1.1095891464218757
58705,Chester,111.0,314.0,184.0,1812.0,14.0,1206.0,2892076.0,144809.0,TX,-0.9810252520764503,-0.9966067787760248,-1.0057171752219558
58706,Chireno,146.0,444.0,245.0,2196.0,19.0,1610.0,2941013.0,193238.0,TX,-0.9784211709281861,-0.9964873513761097,-1.001725283436947
58707,Colmesneil,212.0,620.0,352.0,3460.0,27.0,2303.0,5521236.0,276453.0,TX,-0.9832343095080845,-0.9971743887143852,-1.0084514131805826
58708,Corrigan,609.0,1762.0,950.0,9437.0,88.0,7406.0,15057634.0,889003.0,TX,-0.9861780124196774,-0.9978749486429276,-1.0165019744605246
58709,Diboll,1307.0,5360.0,2108.0,19008.0,224.0,18899.0,25451079.0,2268642.0,TX,-0.9882213395475452,-1.0096960728712263,-1.0407968027112873
58712,Appleby,206.0,568.0,350.0,3135.0,27.0,2249.0,4198202.0,269999.0,TX,-0.9856734680707926,-0.9926590642205505,-1.0028034377311443
58713,Garrison,309.0,987.0,503.0,4506.0,40.0,3311.0,9560759.0,397438.0,TX,-0.983287591168246,-1.0069858971721366,-1.0190860404143138
58714,Hemphill,208.0,1622.0,332.0,2764.0,25.0,2081.0,3701425.0,249755.0,TX,-0.9881378117451702,-0.9931735125205844,-1.000488678700127
58715,Huntington,728.0,2181.0,1250.0,11171.0,73.0,6135.0,14958062.0,736457.0,TX,-0.9952510157915881,-1.001460185973492,-1.0191243256031937
58716,Jasper,2250.0,7663.0,3431.0,34900.0,396.0,33479.0,55688005.0,4018967.0,TX,-0.9735799580033566,-1.0431574462846043,-1.1190297443059853
58717,Logansport,537.0,1805.0,880.0,8248.0,105.0,8835.0,17500093.0,1060580.0,TX,-0.9963369709260144,-1.004014854801982,-1.02587715249446
58718,Joaquin,301.0,957.0,525.0,5273.0,45.0,3722.0,11188674.0,446782.0,TX,-0.9859214921980997,-0.999064109664204,-1.0136293586816767
58719,Kirbyville,885.0,2505.0,1315.0,13409.0,113.0,9572.0,21395680.0,1149023.0,TX,-0.9871267963205855,-1.0071065632383465,-1.0335674006568742
58720,Nacogdoches,12054.0,33789.0,15668.0,140404.0,2065.0,174404.0,188001261.0,20935949.0,TX,-1.0135250784472607,-1.1345951123498879,-1.267262211368136
58725,Newton,588.0,2233.0,1016.0,9242.0,71.0,5995.0,14746647.0,719697.0,TX,-0.9906358187106705,-1.0004626516188506,-1.0169843561611371
58726,Pineland,247.0,626.0,399.0,3322.0,26.0,2183.0,4447872.0,262051.0,TX,-0.9807287665100614,-0.9966207632042895,-1.0082640885831728
58727,San Augustine,711.0,2277.0,1066.0,9104.0,151.0,12716.0,12189899.0,1526423.0,TX,-1.0259605837964123,-0.9930817944390278,-1.0039552675692847
58728,Huxley,169.0,425.0,285.0,2431.0,32.0,2679.0,5159260.0,321587.0,TX,-0.9777821448844469,-0.9968681166135891,-1.0091463997231649
58730,Tenaha,365.0,1257.0,638.0,6406.0,54.0,4521.0,13592379.0,542766.0,TX,-0.9914665611815461,-1.004281276542954,-1.0136225018389813
58731,Timpson,455.0,1645.0,789.0,7067.0,66.0,5515.0,14994192.0,661991.0,TX,-1.0052342614457563,-1.001983958774514,-1.02105457113079
58733,Ivanhoe,685.0,1323.0,1193.0,11743.0,56.0,4771.0,18738245.0,572709.0,TX,-1.0216771329739591,-1.0232051733207745,-1.0414168711939509
58734,Woodville,949.0,2451.0,1438.0,14787.0,188.0,15845.0,23595509.0,1902041.0,TX,-0.9713302761436446,-1.0036781259857719,-1.0342888349268329
58735,Zavalla,182.0,1151.0,298.0,2658.0,14.0,1142.0,3558936.0,137095.0,TX,-0.9823489891681398,-0.9993927490776799,-1.0045255076646666
58744,Hudson Oaks,684.0,2088.0,1237.0,11086.0,109.0,9066.0,14844151.0,1088367.0,TX,-0.9868332274914391,-0.9925525023827511,-1.0106532857220198
58745,Annetta North,213.0,558.0,406.0,3642.0,29.0,2382.0,4876690.0,285925.0,TX,-0.9992390049241346,-0.9982745912514788,-1.0109652314468427
58746,Annetta South,219.0,512.0,458.0,4100.0,16.0,1332.0,5490056.0,159938.0,TX,-1.0064997491756578,-1.0023212686757055,-1.014273811081602
58747,Annetta,474.0,1305.0,990.0,8867.0,35.0,2881.0,11873231.0,345894.0,TX,-1.0124473395162936,-1.0028331267917452,-1.0166414864945972
58748,Aledo,989.0,3190.0,2014.0,18047.0,90.0,7476.0,24164460.0,897403.0,TX,-1.0183738240605738,-1.0293625785550076,-1.0537300565913688
58749,Willow Park,1735.0,4691.0,3435.0,30784.0,140.0,11671.0,41219348.0,1401007.0,TX,-1.0285507796412428,-1.0578635721079395,-1.0934506641379291
