state_id,city,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
NY,White Creek,83.0,1141.0,10848.0,0.0,0.0,19532564.0,0.0
NY,White Plains,1241.0,60643.0,367765.0,6812.0,1276417.0,551057788.0,153224591.0
NY,Whitehall,103.0,894.0,8440.0,0.0,0.0,15196799.0,0.0
NY,Whitestown,293.0,5636.0,53601.0,1051.0,209478.0,96510757.0,25146278.0
NY,Willet,13.0,83.0,784.0,0.0,0.0,1411866.0,0.0
NY,Williamson,365.0,7191.0,59069.0,645.0,129024.0,106356550.0,15488407.0
NY,Williamstown,241.0,3270.0,22697.0,599.0,67053.0,26210547.0,8049283.0
NY,Willing,18.0,193.0,1833.0,82.0,15379.0,3299767.0,1846141.0
NY,Willsboro,50.0,281.0,2643.0,0.0,0.0,4758498.0,0.0
NY,Wilmington,17.0,234.0,2225.0,0.0,0.0,4006116.0,0.0
NY,Wilna,112.0,1568.0,14912.0,364.0,72440.0,26850161.0,8695903.0
NY,Wilson,115.0,916.0,8710.0,457.0,85405.0,15682503.0,10252305.0
NY,Wilton,824.0,23079.0,179322.0,4575.0,645045.0,267086342.0,77432833.0
NY,Windham,99.0,2352.0,21599.0,0.0,0.0,39001225.0,0.0
NY,Windsor,87.0,439.0,4127.0,0.0,40.0,7430465.0,4764.0
NY,Winfield,42.0,518.0,4904.0,0.0,35.0,8829246.0,4178.0
NY,Wirt,7.0,59.0,487.0,22.0,4170.0,876623.0,500573.0
NY,Wolcott,85.0,531.0,4362.0,209.0,41809.0,7854104.0,5018856.0
NY,Woodbury,151.0,4421.0,33551.0,0.0,0.0,60411027.0,0.0
NY,Woodhull,24.0,155.0,1459.0,20.0,2786.0,2626315.0,334394.0
NY,Woodstock,209.0,2484.0,21578.0,0.0,0.0,38851449.0,0.0
NY,Worcester,51.0,351.0,3327.0,0.0,0.0,5990713.0,11.0
NY,Worth,2.0,9.0,83.0,1.0,261.0,150170.0,31286.0
NY,Wright,8.0,47.0,445.0,0.0,3.0,800525.0,326.0
NY,Yates,49.0,273.0,2595.0,101.0,17361.0,4672384.0,2084051.0
NY,Yonkers,2819.0,80577.0,488656.0,12129.0,2272811.0,732201529.0,272834310.0
NY,York,44.0,255.0,2422.0,91.0,18241.0,4361484.0,2189673.0
NY,Yorkshire,81.0,1511.0,14297.0,180.0,33583.0,25742587.0,4031367.0
NY,Yorktown,778.0,22038.0,138544.0,6988.0,1309468.0,207593979.0,157192109.0
OH,Aberdeen,39.0,319.0,3317.0,58.0,7830.0,5654435.0,939899.0
OH,Ada,74.0,594.0,5869.0,87.0,15845.0,10006792.0,1902018.0
OH,Adamsville,2.0,109.0,1076.0,13.0,2358.0,1834577.0,283084.0
OH,Addyston,11.0,117.0,1343.0,42.0,5652.0,2289870.0,678431.0
OH,Adelphi,5.0,30.0,292.0,5.0,993.0,498060.0,119147.0
OH,Adena,14.0,94.0,928.0,4.0,662.0,1581341.0,79463.0
OH,Akron,3568.0,48222.0,478171.0,12801.0,2613861.0,815231363.0,313774954.0
OH,Albany,26.0,193.0,1904.0,48.0,8818.0,3246856.0,1058562.0
OH,Alexandria,4.0,410.0,4046.0,33.0,6094.0,6898744.0,731589.0
OH,Alger,20.0,135.0,1375.0,30.0,5637.0,2344366.0,676645.0
OH,Alliance,644.0,8087.0,80176.0,2041.0,392568.0,136692291.0,47124916.0
OH,Amanda,20.0,61.0,551.0,25.0,4521.0,938759.0,542748.0
OH,Amberley,64.0,650.0,7446.0,266.0,36087.0,12694802.0,4332035.0
OH,Amelia,71.0,1170.0,13411.0,212.0,28662.0,22864648.0,3440689.0
OH,Amesville,8.0,42.0,415.0,9.0,1612.0,707999.0,193510.0
OH,Amherst,231.0,2716.0,26918.0,283.0,46145.0,45892808.0,5539403.0
OH,Amsterdam,10.0,70.0,693.0,5.0,909.0,1181770.0,109102.0
OH,Andover,59.0,710.0,6807.0,17.0,4394.0,11605188.0,527453.0
OH,Anna,21.0,139.0,1554.0,40.0,8036.0,2649281.0,964674.0
OH,Ansonia,36.0,223.0,2492.0,31.0,5366.0,4249046.0,644139.0
OH,Antioch,4.0,22.0,214.0,5.0,924.0,364944.0,110941.0
OH,Antwerp,22.0,176.0,1743.0,0.0,0.0,2972018.0,0.0
OH,Apple Creek,28.0,273.0,2695.0,22.0,3612.0,4594394.0,433566.0
OH,Aquilla,2.0,13.0,117.0,0.0,0.0,199886.0,0.0
OH,Arcadia,12.0,146.0,1437.0,26.0,4690.0,2450037.0,563026.0
OH,Arcanum,62.0,387.0,4329.0,47.0,8102.0,7380302.0,972579.0
OH,Archbold,111.0,1085.0,10082.0,0.0,0.0,17188006.0,0.0
OH,Arlington,26.0,162.0,1600.0,16.0,2846.0,2727990.0,341604.0
OH,Arlington Heights,12.0,172.0,1968.0,58.0,7829.0,3354813.0,939821.0
OH,Ashland,398.0,4398.0,43598.0,991.0,180587.0,74329301.0,21678110.0
OH,Ashley,23.0,136.0,1347.0,25.0,4638.0,2296523.0,556728.0
OH,Ashtabula,465.0,7727.0,71762.0,920.0,189115.0,122346169.0,22701862.0
OH,Ashville,35.0,3632.0,35807.0,271.0,49430.0,61047834.0,5933726.0
OH,Athalia,5.0,53.0,525.0,6.0,1089.0,895871.0,130666.0
OH,Athens,438.0,7308.0,72231.0,1179.0,214865.0,123146752.0,25792980.0
OH,Attica,39.0,261.0,2573.0,91.0,16625.0,4387396.0,1995658.0
OH,Augusta,46.0,402.0,4305.0,64.0,8785.0,7215776.0,1054632.0
OH,Aurora,255.0,4365.0,42658.0,539.0,110777.0,72726609.0,13298012.0
OH,Avon,294.0,9368.0,89875.0,1470.0,267793.0,153226475.0,32146589.0
OH,Avon Lake,390.0,3556.0,33023.0,548.0,99878.0,56301304.0,11989575.0
OH,Bailey Lakes,11.0,74.0,729.0,16.0,2983.0,1242817.0,358046.0
OH,Bainbridge,24.0,162.0,1596.0,0.0,0.0,2721272.0,5.0
OH,Bairdstown,1.0,5.0,49.0,2.0,307.0,83291.0,36802.0
OH,Baltic,18.0,121.0,1192.0,48.0,8660.0,2031445.0,1039591.0
OH,Baltimore,82.0,635.0,6262.0,64.0,10369.0,10676224.0,1244676.0
OH,Barberton,492.0,6363.0,63105.0,1583.0,324595.0,107587333.0,38965221.0
OH,Barnesville,133.0,987.0,9727.0,175.0,31941.0,16583358.0,3834239.0
OH,Barnhill,1.0,12.0,121.0,3.0,484.0,205763.0,58143.0
OH,Batavia,84.0,980.0,11228.0,215.0,29087.0,19142960.0,3491695.0
OH,Batesville,4.0,21.0,203.0,7.0,1253.0,346416.0,150397.0
OH,Bay View,8.0,50.0,495.0,13.0,2281.0,844355.0,273861.0
OH,Bay Village,267.0,2811.0,26101.0,519.0,95245.0,44499991.0,11433445.0
OH,Beach City,10.0,77.0,761.0,15.0,2657.0,1297765.0,318970.0
OH,Beachwood,312.0,14386.0,133601.0,2231.0,457394.0,227775581.0,54906847.0
OH,Beallsville,7.0,46.0,458.0,13.0,2550.0,780017.0,306050.0
OH,Beaver,20.0,168.0,1663.0,12.0,1743.0,2929825.0,209265.0
OH,Beavercreek,624.0,17182.0,192257.0,2314.0,408410.0,327778338.0,49026592.0
OH,Beaverdam,24.0,172.0,1701.0,32.0,6589.0,2899195.0,790962.0
OH,Bedford,318.0,8176.0,75925.0,1118.0,229134.0,129443502.0,27505871.0
OH,Bedford Heights,168.0,7360.0,68353.0,875.0,179406.0,116535073.0,21536331.0
OH,Beech Bottom,1.0,7.0,77.0,5.0,632.0,131031.0,75889.0
OH,Bellaire,124.0,1384.0,13676.0,252.0,45960.0,23315661.0,5517180.0
OH,Bellbrook,107.0,2269.0,25394.0,238.0,40795.0,43294415.0,4897190.0
OH,Belle Center,13.0,164.0,1834.0,38.0,6847.0,3126924.0,821892.0
OH,Belle Valley,5.0,32.0,319.0,8.0,1404.0,543145.0,168564.0
OH,Bellefontaine,291.0,4617.0,51591.0,579.0,99172.0,87956320.0,11904838.0
OH,Bellevue,197.0,2714.0,26884.0,558.0,101801.0,45833651.0,12220500.0
OH,Bellville,67.0,815.0,8055.0,185.0,33820.0,13733368.0,4059893.0
OH,Belmont,6.0,30.0,298.0,12.0,2107.0,508856.0,252873.0
OH,Belmore,0.0,8.0,83.0,1.0,160.0,141416.0,19157.0
OH,Beloit,15.0,122.0,1213.0,24.0,4637.0,2068106.0,556614.0
OH,Belpre,205.0,3164.0,31276.0,314.0,60454.0,53322031.0,7257104.0
OH,Bentleyville,0.0,106.0,980.0,34.0,7021.0,1671363.0,842786.0
OH,Benton Ridge,2.0,35.0,345.0,5.0,911.0,588222.0,109382.0
OH,Benwood,25.0,632.0,7002.0,296.0,37336.0,11937170.0,4481905.0
OH,Berea,271.0,4601.0,42726.0,849.0,157102.0,72843071.0,18858932.0
OH,Bergholz,15.0,110.0,1084.0,8.0,1421.0,1847528.0,170565.0
OH,Berkey,10.0,28.0,265.0,0.0,0.0,451059.0,24.0
OH,Berlin Heights,8.0,30.0,301.0,12.0,2106.0,513794.0,252794.0
OH,Bethel,73.0,667.0,7640.0,165.0,22383.0,13024651.0,2686971.0
OH,Bethesda,26.0,134.0,1321.0,51.0,9322.0,2251952.0,1119096.0
OH,Bettsville,9.0,82.0,803.0,16.0,2897.0,1369690.0,347795.0
OH,Beverly,39.0,409.0,4043.0,42.0,8137.0,6893551.0,976832.0
OH,Bexley,287.0,2481.0,24528.0,590.0,107242.0,41818018.0,12873566.0
OH,Blakeslee,5.0,14.0,129.0,0.0,0.0,220262.0,0.0
OH,Blanchester,88.0,501.0,5692.0,51.0,7261.0,9704879.0,871619.0
OH,Bloomdale,8.0,51.0,498.0,17.0,3125.0,849122.0,375181.0
OH,Bloomingburg,6.0,34.0,347.0,7.0,1227.0,591112.0,147323.0
OH,Bloomingdale,2.0,12.0,118.0,3.0,629.0,201232.0,75502.0
OH,Bloomville,18.0,122.0,1205.0,43.0,7783.0,2053909.0,934244.0
OH,Blue Ash,438.0,15173.0,173859.0,3360.0,455301.0,296410449.0,54655534.0
OH,Bluffton,141.0,1611.0,15914.0,277.0,56626.0,27131954.0,6797498.0
OH,Bolivar,25.0,171.0,1690.0,66.0,12683.0,2881743.0,1522492.0
OH,Boston Heights,52.0,1549.0,15318.0,213.0,40923.0,26114820.0,4912553.0
OH,Botkins,50.0,338.0,3771.0,95.0,19029.0,6429724.0,2284317.0
OH,Bowerston,13.0,82.0,811.0,17.0,3060.0,1383073.0,367278.0
OH,Bowersville,9.0,44.0,495.0,8.0,1408.0,844164.0,168960.0
OH,Bowling Green,543.0,7239.0,65414.0,1957.0,355720.0,111523896.0,42701587.0
OH,Bradford,21.0,145.0,1623.0,21.0,3534.0,2766871.0,424276.0
OH,Bradner,26.0,137.0,1273.0,56.0,10152.0,2170405.0,1218645.0
OH,Brady Lake,8.0,46.0,452.0,10.0,2143.0,770003.0,257226.0
OH,Bratenahl,34.0,154.0,1145.0,145.0,29787.0,1951665.0,3575743.0
OH,Brecksville,204.0,8920.0,82839.0,1199.0,234431.0,141230872.0,28141721.0
OH,Bremen,47.0,330.0,3253.0,50.0,9088.0,5546791.0,1090921.0
OH,Brewster,48.0,375.0,3710.0,71.0,12951.0,6325490.0,1554704.0
OH,Brice,12.0,634.0,6262.0,84.0,15251.0,10676730.0,1830749.0
OH,Bridgeport,55.0,463.0,4566.0,99.0,18104.0,7784264.0,2173213.0
OH,Broadview Heights,277.0,6340.0,59356.0,1004.0,193141.0,101196501.0,23185153.0
OH,Bromley,14.0,130.0,1695.0,59.0,8095.0,2890574.0,971732.0
OH,Brook Park,195.0,5452.0,50634.0,798.0,156632.0,86325808.0,18802546.0
OH,Brooklyn,149.0,8996.0,83546.0,1089.0,223352.0,142437112.0,26811770.0
OH,Brooklyn Heights,61.0,2682.0,24902.0,251.0,51542.0,42455498.0,6187297.0
OH,Brookside,24.0,219.0,2156.0,44.0,8069.0,3675458.0,968594.0
OH,Brookville,117.0,1609.0,17999.0,169.0,28926.0,30685687.0,3472380.0
OH,Broughton,1.0,9.0,89.0,0.0,0.0,150912.0,13.0
OH,Brunswick,513.0,6511.0,64573.0,1447.0,265659.0,110090035.0,31890422.0
OH,Bryan,267.0,2591.0,24049.0,0.0,0.0,41001108.0,0.0
OH,Buchtel,3.0,20.0,197.0,5.0,1000.0,335032.0,119991.0
OH,Buckeye Lake,58.0,595.0,5879.0,123.0,22338.0,10023577.0,2681506.0
OH,Buckland,19.0,144.0,1469.0,11.0,2300.0,2503806.0,276064.0
OH,Bucyrus,308.0,3108.0,30725.0,503.0,91875.0,52382785.0,11028976.0
OH,Burbank,8.0,39.0,389.0,9.0,1718.0,663344.0,206253.0
OH,Burgoon,1.0,9.0,86.0,1.0,264.0,146695.0,31682.0
OH,Burkettsville,2.0,16.0,165.0,2.0,319.0,281107.0,38342.0
OH,Burton,43.0,787.0,7312.0,70.0,12883.0,12465817.0,1546456.0
OH,Butler,34.0,210.0,2081.0,53.0,10270.0,3547785.0,1232807.0
OH,Butlerville,5.0,21.0,238.0,1.0,170.0,405684.0,20455.0
OH,Byesville,72.0,583.0,5756.0,142.0,25863.0,9813005.0,3104696.0
OH,Cadiz,118.0,1181.0,11645.0,278.0,50624.0,19853136.0,6077076.0
