state_abbr,type,series_id,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
RI,transportation,EMISS.CO2-TOTV-TC-TO-RI.A,"Transportation carbon dioxide emissions, all fuels, Rhode Island",3.703332,3.637436,3.595501,3.617492,3.835858,3.591136,4.008936,4.33047,4.412416,4.335755000000001,4.114446,4.131747,4.055096,4.070488,3.985553,4.109252,4.151939,4.608638,4.462903,4.638747,4.621846,4.665483999999999,4.620709,4.533789,4.36565,4.33115,4.404481,4.309811,4.074683,4.175962999999999,4.192362999999999,4.018626,3.8290800000000003,3.8584440000000004,4.132692,4.070975,3.8709089999999997
RI,total,EMISS.CO2-TOTV-TT-TO-RI.A,"Total carbon dioxide emissions from all sectors, all fuels, Rhode Island",8.467557000000001,7.777941,7.449853999999999,7.688528,8.499961,8.510194,9.585371,9.890305999999999,10.373683999999999,9.275917999999999,8.911143,10.821388,13.087017999999999,10.861449,12.881212,12.131923,13.547913000000001,13.625035999999998,13.893595999999999,13.238751999999998,11.740638,12.295316999999999,11.722291,11.510451,10.94164,11.204502,10.524650999999999,11.071046,10.671282000000001,11.24571,11.016608999999999,11.045627,10.541459,10.150881,10.645255,10.900181,9.749477
NH,commercial,EMISS.CO2-TOTV-CC-TO-NH.A,"Commercial carbon dioxide emissions, all fuels, New Hampshire",0.934997,0.777323,0.889741,0.671138,0.736137,0.710562,1.0881129999999999,1.3812440000000001,1.272834,1.295906,1.374125,1.335741,1.1956870000000002,1.182507,1.332983,1.220993,1.354822,1.3725180000000001,1.2137639999999998,1.241942,1.518842,1.381709,1.381634,1.7224549999999998,1.883284,2.006472,1.381092,1.435985,1.426381,1.3724180000000001,1.228457,1.350327,1.236197,1.27395,1.411465,1.477642,1.386967
NH,electric,EMISS.CO2-TOTV-EC-TO-NH.A,"Electric power carbon dioxide emissions, all fuels, New Hampshire",4.877597,4.238954,3.728994,3.92224,4.740262,4.793248,4.579087,4.705379,5.464832,5.454271,4.866034,4.442143,4.306121,4.48764,4.435575,4.356469000000001,4.139124,5.133426999999999,4.817659,4.6839379999999995,4.578894999999999,4.2194,4.381532,7.253558,7.7972399999999995,7.787338,6.824867,6.717982000000001,6.627228999999999,5.342668,5.397608,4.960586,4.121794,3.2848050000000004,3.3073980000000005,3.5001559999999996,2.36788
NH,residential,EMISS.CO2-TOTV-RC-TO-NH.A,"Residential carbon dioxide emissions, all fuels, New Hampshire",1.964582,1.909823,1.8220869999999998,1.7480229999999999,2.11725,2.3086849999999997,2.162532,2.626973,2.56495,2.882994,2.419695,2.418376,2.5310900000000003,2.518646,2.5784689999999997,2.70775,2.8785279999999998,2.8580330000000003,2.784636,2.807502,2.8707849999999997,2.802851,2.61573,3.242474,3.3316269999999997,3.123306,2.745732,2.744032,2.693274,2.51533,2.233946,2.342336,1.9191610000000001,2.27999,2.704827,2.709135,2.518945
NH,industrial,EMISS.CO2-TOTV-IC-TO-NH.A,"Industrial carbon dioxide emissions, all fuels, New Hampshire",1.0058049999999998,0.687291,0.868632,0.882309,1.057384,1.016316,1.3540860000000001,1.280844,0.976719,0.916127,0.872663,0.840836,1.154937,1.419823,1.199729,1.10178,1.078637,1.0368879999999998,1.013295,0.988451,1.28128,1.282901,1.149419,1.150181,1.1567690000000002,1.0243520000000002,1.1955,0.932592,0.863568,0.789552,0.765509,0.7650859999999999,0.6943229999999999,0.812796,0.8572639999999999,0.79306,0.7526689999999999
NH,transportation,EMISS.CO2-TOTV-TC-TO-NH.A,"Transportation carbon dioxide emissions, all fuels, New Hampshire",4.11394,3.995968,3.991685,4.0686800000000005,4.449997,4.471136,4.902432,5.332361,5.5080800000000005,5.450113,5.20169,5.305682,5.27367,5.366680000000001,5.498086,5.741924,5.896972,6.217041,6.837414,7.083773,7.231828999999999,7.2475190000000005,8.10345,7.568327,7.763655,7.323183,7.233663000000001,7.344417,7.133038000000001,7.041894,6.965522999999999,6.81283,6.58702,6.660728,6.728436,6.720796000000001,6.72645
NH,total,EMISS.CO2-TOTV-TT-TO-NH.A,"Total carbon dioxide emissions from all sectors, all fuels, New Hampshire",12.896921,11.609358,11.301138,11.292389,13.10103,13.299947,14.086251,15.326801000000001,15.787414000000002,15.999412,14.734207000000001,14.342778,14.461504999999999,14.975295999999998,15.044842000000001,15.128917999999999,15.348082999999999,16.617908,16.666767999999998,16.805606,17.481631,16.934379999999997,17.631764999999998,20.936995,21.932576,21.264651,19.380855,19.175009,18.743491,17.061861999999998,16.591043,16.231166,14.558496,14.312270000000002,15.009389,15.200789000000002,13.752911
ME,commercial,EMISS.CO2-TOTV-CC-TO-ME.A,"Commercial carbon dioxide emissions, all fuels, Maine",1.3115459999999999,1.131251,1.173591,1.2388549999999998,1.492346,1.253454,1.7662779999999998,1.396575,2.1852720000000003,2.05583,2.270069,2.253792,1.807223,1.772845,1.80823,1.5189489999999999,1.6790630000000002,1.650712,1.702927,1.578901,1.8811349999999998,1.5832190000000002,1.806073,2.30218,2.166,2.091189,1.800825,2.164883,2.1804959999999998,1.815236,1.705126,1.8395130000000002,1.569551,1.609573,1.6998630000000001,1.774191,1.617607
ME,electric,EMISS.CO2-TOTV-EC-TO-ME.A,"Electric power carbon dioxide emissions, all fuels, Maine",1.8190709999999999,1.861922,1.580317,1.737482,1.779866,1.712496,2.173619,2.153166,2.426848,2.579436,2.141371,1.7267830000000002,1.6949560000000001,1.336927,1.240051,1.267104,1.115585,1.79557,1.999903,3.3847389999999997,3.576201,5.749347,5.907365,4.798883999999999,4.545208000000001,3.834778,2.7008970000000003,2.596074,2.545763,2.3740099999999997,2.585603,2.0858689999999998,1.7388549999999998,1.441819,1.66508,1.597535,1.493373
