state_abbr,type,series_id,name,units,f,unitsshort,description,copyright,source,iso3166,geography,start,end,updated,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
RI,transportation,EMISS.CO2-TOTV-TC-TO-RI.A,"Transportation carbon dioxide emissions, all fuels, Rhode Island",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-RI,USA-RI,1980,2016,2018-12-12T09:19:26-0500,3.703332,3.637436,3.595501,3.617492,3.835858,3.591136,4.008936,4.33047,4.412416,4.335755,4.114446,4.131747,4.055096,4.070488,3.985553,4.109252,4.151939,4.608638,4.462903,4.638747,4.621846,4.665484,4.620709,4.533789,4.36565,4.33115,4.404481,4.309811,4.074683,4.175963,4.192363,4.018626,3.82908,3.858444,4.132692,4.070975,3.870909
RI,total,EMISS.CO2-TOTV-TT-TO-RI.A,"Total carbon dioxide emissions from all sectors, all fuels, Rhode Island",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-RI,USA-RI,1980,2016,2018-12-12T09:19:26-0500,8.467557,7.777941,7.449854,7.688528,8.499961,8.510194,9.585371,9.890306,10.373684,9.275918,8.911143,10.821388,13.087018,10.861449,12.881212,12.131923,13.547913,13.625036,13.893596,13.238752,11.740638,12.295317,11.722291,11.510451,10.94164,11.204502,10.524651,11.071046,10.671282,11.24571,11.016609,11.045627,10.541459,10.150881,10.645255,10.900181,9.749477
NH,commercial,EMISS.CO2-TOTV-CC-TO-NH.A,"Commercial carbon dioxide emissions, all fuels, New Hampshire",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-NH,USA-NH,1980,2016,2018-12-12T09:19:26-0500,0.934997,0.777323,0.889741,0.671138,0.736137,0.710562,1.088113,1.381244,1.272834,1.295906,1.374125,1.335741,1.195687,1.182507,1.332983,1.220993,1.354822,1.372518,1.213764,1.241942,1.518842,1.381709,1.381634,1.722455,1.883284,2.006472,1.381092,1.435985,1.426381,1.372418,1.228457,1.350327,1.236197,1.27395,1.411465,1.477642,1.386967
NH,electric,EMISS.CO2-TOTV-EC-TO-NH.A,"Electric power carbon dioxide emissions, all fuels, New Hampshire",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-NH,USA-NH,1980,2016,2018-12-12T09:19:26-0500,4.877597,4.238954,3.728994,3.92224,4.740262,4.793248,4.579087,4.705379,5.464832,5.454271,4.866034,4.442143,4.306121,4.48764,4.435575,4.356469,4.139124,5.133427,4.817659,4.683938,4.578895,4.2194,4.381532,7.253558,7.79724,7.787338,6.824867,6.717982,6.627229,5.342668,5.397608,4.960586,4.121794,3.284805,3.307398,3.500156,2.36788
NH,residential,EMISS.CO2-TOTV-RC-TO-NH.A,"Residential carbon dioxide emissions, all fuels, New Hampshire",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-NH,USA-NH,1980,2016,2018-12-12T09:19:26-0500,1.964582,1.909823,1.822087,1.748023,2.11725,2.308685,2.162532,2.626973,2.56495,2.882994,2.419695,2.418376,2.53109,2.518646,2.578469,2.70775,2.878528,2.858033,2.784636,2.807502,2.870785,2.802851,2.61573,3.242474,3.331627,3.123306,2.745732,2.744032,2.693274,2.51533,2.233946,2.342336,1.919161,2.27999,2.704827,2.709135,2.518945
NH,industrial,EMISS.CO2-TOTV-IC-TO-NH.A,"Industrial carbon dioxide emissions, all fuels, New Hampshire",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-NH,USA-NH,1980,2016,2018-12-12T09:19:26-0500,1.005805,0.687291,0.868632,0.882309,1.057384,1.016316,1.354086,1.280844,0.976719,0.916127,0.872663,0.840836,1.154937,1.419823,1.199729,1.10178,1.078637,1.036888,1.013295,0.988451,1.28128,1.282901,1.149419,1.150181,1.156769,1.024352,1.1955,0.932592,0.863568,0.789552,0.765509,0.765086,0.694323,0.812796,0.857264,0.79306,0.752669
NH,transportation,EMISS.CO2-TOTV-TC-TO-NH.A,"Transportation carbon dioxide emissions, all fuels, New Hampshire",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-NH,USA-NH,1980,2016,2018-12-12T09:19:26-0500,4.11394,3.995968,3.991685,4.06868,4.449997,4.471136,4.902432,5.332361,5.50808,5.450113,5.20169,5.305682,5.27367,5.36668,5.498086,5.741924,5.896972,6.217041,6.837414,7.083773,7.231829,7.247519,8.10345,7.568327,7.763655,7.323183,7.233663,7.344417,7.133038,7.041894,6.965523,6.81283,6.58702,6.660728,6.728436,6.720796,6.72645
NH,total,EMISS.CO2-TOTV-TT-TO-NH.A,"Total carbon dioxide emissions from all sectors, all fuels, New Hampshire",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-NH,USA-NH,1980,2016,2018-12-12T09:19:26-0500,12.896921,11.609358,11.301138,11.292389,13.10103,13.299947,14.086251,15.326801,15.787414,15.999412,14.734207,14.342778,14.461505,14.975296,15.044842,15.128918,15.348083,16.617908,16.666768,16.805606,17.481631,16.93438,17.631765,20.936995,21.932576,21.264651,19.380855,19.175009,18.743491,17.061862,16.591043,16.231166,14.558496,14.31227,15.009389,15.200789,13.752911
ME,commercial,EMISS.CO2-TOTV-CC-TO-ME.A,"Commercial carbon dioxide emissions, all fuels, Maine",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-ME,USA-ME,1980,2016,2018-12-12T09:19:26-0500,1.311546,1.131251,1.173591,1.238855,1.492346,1.253454,1.766278,1.396575,2.185272,2.05583,2.270069,2.253792,1.807223,1.772845,1.80823,1.518949,1.679063,1.650712,1.702927,1.578901,1.881135,1.583219,1.806073,2.30218,2.166,2.091189,1.800825,2.164883,2.180496,1.815236,1.705126,1.839513,1.569551,1.609573,1.699863,1.774191,1.617607
ME,electric,EMISS.CO2-TOTV-EC-TO-ME.A,"Electric power carbon dioxide emissions, all fuels, Maine",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-ME,USA-ME,1980,2016,2018-12-12T09:19:26-0500,1.819071,1.861922,1.580317,1.737482,1.779866,1.712496,2.173619,2.153166,2.426848,2.579436,2.141371,1.726783,1.694956,1.336927,1.240051,1.267104,1.115585,1.79557,1.999903,3.384739,3.576201,5.749347,5.907365,4.798884,4.545208,3.834778,2.700897,2.596074,2.545763,2.37401,2.585603,2.085869,1.738855,1.441819,1.66508,1.597535,1.493373
ME,residential,EMISS.CO2-TOTV-RC-TO-ME.A,"Residential carbon dioxide emissions, all fuels, Maine",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-ME,USA-ME,1980,2016,2018-12-12T09:19:26-0500,2.976557,2.414413,2.325969,1.602607,2.073201,2.797862,3.090928,3.086554,3.411841,3.19531,2.957484,2.962172,2.980861,3.096527,3.17133,3.899675,4.012378,3.881525,4.18585,3.984247,3.861084,3.84247,3.452744,4.732572,5.141099,4.587356,3.976829,3.803222,3.079629,2.902507,2.62927,2.692662,2.221376,2.383913,2.53786,3.009693,2.924834
