,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,k distances,local outlier factor
3150,39102.10838164672,425287.3092020665,90.0,34724.0,599340.0,18840.0,4330920.0,1004678802.0,519895264.0,822797937.6605884,1.0124092418918038
4426,2426309.821802097,15376403.006530784,6090.0,51059.0,428329.0,44185.0,6507428.0,573536086.0,781169202.0,710523218.8985044,1.017312947523222
2820,1068069.4882774488,6735364.517481893,1524.0,51442.0,431537.0,44516.0,6556172.0,577832171.0,787020568.0,716224123.3747051,1.026585871651052
5806,1535754.5843873438,9258320.844613934,1147.0,51485.0,431897.0,44554.0,6561644.0,578314439.0,787677427.0,717055709.2966692,1.0286954105074417
8575,230175.91353403247,1161925.444433058,994.0,24271.0,455545.0,17562.0,6627150.0,609974702.0,795540960.0,734946618.9515606,1.0288793145676327
3525,8319.043369439129,59695.31063984832,615.0,20577.0,352601.0,3128.0,748261.0,748170313.0,89823291.0,531717836.6902853,1.0364277696038897
3665,1338253.0352882384,7497468.2827502815,4767.0,51898.0,435365.0,44911.0,6614337.0,582958555.0,794002819.0,724254029.4138967,1.0408727974043241
4423,16446.317666238785,96101.08150396768,5.0,22281.0,418190.0,16122.0,6083728.0,887341234.0,730307103.0,841307081.2249508,1.0415378087195304
5624,44503.64235403095,294304.76133707014,121.0,40438.0,584234.0,19471.0,2631249.0,996057353.0,315862174.0,756083182.8265184,1.0501655150915683
3367,237494.77441088203,2732664.6449958743,88.0,120.0,1986.0,51.0,8653.0,3576048.0,1038704.0,2874197.4321916606,1.0519786515173193
2686,123145.90264506644,906474.8426971644,617.0,42229.0,574585.0,14963.0,3059991.0,1006852411.0,367329497.0,775302356.7270917,1.052010930606082
6204,3551.155498074614,34288.92037902644,21.0,7061.0,139105.0,12640.0,4064263.0,221962444.0,487885016.0,389360682.62673193,1.0541554701469682
8308,77754.61041042526,657589.4547337418,68.0,33316.0,507027.0,3089.0,1271249.0,864426394.0,152604102.0,631393467.9454331,1.0591179618619337
8309,38877.30520521263,328794.7273668709,68.0,33316.0,507027.0,3089.0,1271249.0,864426394.0,152604102.0,631402265.0368866,1.059121589496137
1909,506.8479348355394,2476.988003010315,107.0,24416.0,458259.0,17667.0,6666633.0,731217764.0,800280526.0,794147949.2587535,1.0622221648654167
236,1100380.6110298482,6925534.705074292,1547.0,24657.0,462794.0,17841.0,6732608.0,619681188.0,808200348.0,750303195.5100712,1.0622412940766504
5997,550676.6254433438,5524793.321523923,515.0,24892.0,467203.0,18011.0,6796754.0,625585347.0,815900669.0,758554852.3662142,1.0759999064295211
5584,221908.63823479292,1425994.2395805966,348.0,34997.0,594947.0,4760.0,806777.0,764101640.0,96847630.0,546995653.73213,1.0810253430964711
