city,state_abbr,r_housing_units,r_total_pop,r_elec_1kdollars,r_elec_mwh,r_gas_1kdollars,r_gas_mcf,r_elec_lb_ghg,r_gas_lb_ghg,r_elec_class,r_gas_class,c_elec_score,c_gas_score,c_num_establishments,c_elec_1kdollars,c_elec_mwh,c_gas_1kdollars,c_gas_mcf,c_elec_lb_ghg,c_gas_lb_ghg,c_elec_class,c_gas_class,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
Adak,AK,151.0,122.0,210.0,1058.0,7.0,893.0,1490452.0,107140.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Akhiok,AK,17.0,74.0,23.0,133.0,1.0,110.0,187773.0,13187.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Akiak,AK,77.0,407.0,200.0,411.0,3.0,458.0,579012.0,54949.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Akutan,AK,50.0,782.0,65.0,329.0,3.0,329.0,464143.0,39515.0,1,1,,,,,,,,,,,,863.4344616492618,6472.972992437884,1.0,678.0,55553.0,866.0,171193.0,78278524.0,20550412.0,3.0,2.0
Alakanuk,AK,148.0,737.0,230.0,1156.0,0.0,0.0,1629516.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Aleknagik,AK,59.0,189.0,145.0,299.0,3.0,329.0,421322.0,39516.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Allakaket,AK,37.0,105.0,72.0,174.0,0.0,0.0,244649.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Ambler,AK,61.0,295.0,160.0,330.0,3.0,385.0,464698.0,46261.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Anaktuvuk Pass,AK,81.0,273.0,187.0,488.0,6.0,799.0,688205.0,95965.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Anchorage,AK,31282.47,84618.63,37072.95,148728.62,20893.07,1794249.7,222856152.36,215386679.56,3,3,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,7649.32,39969.32,50.0,678.0,9253.0,2622.0,518215.0,13496294.5,62207878.0,1.0,3.0
Anderson,AK,58.0,168.0,104.0,461.0,0.0,0.0,636055.0,0.0,1,1,144.09922580000003,246.6737542,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Angoon,AK,121.0,448.0,135.0,1138.0,7.0,930.0,1603005.0,111628.0,1,1,346.0805274,361.3568241,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Aniak,AK,129.0,526.0,293.0,602.0,7.0,931.0,848080.0,111771.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Anvik,AK,22.0,86.0,37.0,142.0,1.0,168.0,200652.0,20141.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Atka,AK,13.0,51.0,18.0,91.0,1.0,77.0,128179.0,9214.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Atqasuk,AK,47.0,167.0,108.0,281.0,4.0,461.0,396593.0,55302.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Barrow,AK,1370.0,4316.0,1333.0,10116.0,754.0,223705.0,14253805.0,26854150.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Bethel,AK,1906.0,6365.0,2723.0,13700.0,86.0,11346.0,19304445.0,1362030.0,1,1,72195.68426000001,161611.7411,40.0,1605.0,9507.0,0.0,0.0,13396331.0,0.0,1.0,1.0,4907.394211054587,29488.960967272567,4.0,2596.0,17040.0,266.0,52511.0,24010714.0,6303518.0,1.0,1.0
Bettles,AK,10.0,36.0,17.0,64.0,1.0,71.0,89768.0,8518.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Brevig Mission,AK,71.0,417.0,180.0,370.0,3.0,422.0,521873.0,50628.0,1,1,140.19441819999997,450.7264324,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Buckland,AK,63.0,616.0,164.0,336.0,3.0,393.0,474086.0,47195.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Chefornak,AK,77.0,507.0,202.0,415.0,4.0,462.0,584920.0,55509.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Chevak,AK,174.0,1194.0,271.0,1362.0,0.0,0.0,1918624.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Chignik,AK,33.0,40.0,45.0,228.0,2.0,239.0,321870.0,28670.0,1,1,,,,,,,,,,,,863.4344616492618,6472.972992437884,3.0,13.0,88.0,1.0,272.0,124375.0,32652.0,1.0,1.0
Chuathbaluk,AK,25.0,109.0,56.0,115.0,1.0,178.0,162483.0,21414.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Clark's Point,AK,22.0,47.0,55.0,113.0,1.0,125.0,159592.0,14968.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Coffman Cove,AK,120.0,180.0,160.0,520.0,6.0,770.0,733047.0,92394.0,1,1,559.6429393999998,774.6271602,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Cold Bay,AK,87.0,60.0,114.0,575.0,4.0,574.0,809782.0,68942.0,1,1,1410.735903,1534.744785,1.0,23.0,136.0,0.0,0.0,191881.0,0.0,1.0,1.0,,,,,,,,,,,
Cordova,AK,887.0,3047.0,1347.0,5170.0,42.0,5573.0,7285185.0,668990.0,1,1,,,,,,,,,,,,6772.616215783,44530.667802260214,18.0,211.0,1384.0,22.0,4265.0,1950239.0,511995.0,1.0,1.0
Craig,AK,447.0,1257.0,642.0,2094.0,19.0,2495.0,2950407.0,299506.0,1,1,12136.12058,18056.02158,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,4487.765960359715,28122.4908582772,8.0,1668.0,10950.0,171.0,33744.0,15429700.0,4050750.0,1.0,1.0
Deering,AK,38.0,150.0,99.0,203.0,2.0,237.0,286329.0,28504.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Delta Junction,AK,278.0,1050.0,514.0,2271.0,11.0,1506.0,3132412.0,180838.0,1,1,3141.711949,5142.942075,191.0,417.0,4199.0,47.0,7021.0,69341015.5,842786.0,1.0,1.0,,,,,,,,,,,
Dillingham,AK,754.0,2296.0,1025.0,5155.0,0.0,0.0,7263684.0,0.0,1,1,15177.09449,41125.92881000001,44.0,2308.0,13669.0,0.0,0.0,19261056.0,0.0,2.0,1.0,863.4344616492618,6472.972992437884,5.0,171.0,1125.0,18.0,3468.0,1585881.0,416340.0,1.0,1.0
Diomede,AK,32.0,55.0,82.0,169.0,1.0,192.0,238136.0,23102.0,1,1,413.4224482,652.2322522999998,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Eagle,AK,79.0,84.0,126.0,541.0,5.0,661.0,746579.0,79398.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Eek,AK,79.0,472.0,206.0,423.0,4.0,472.0,596737.0,56631.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Egegik,AK,80.0,80.0,111.0,557.0,4.0,582.0,784749.0,69900.0,1,1,,,,,,,,,,,,2590.3033849477856,19418.91897731365,2.0,0.0,3.0,0.0,9.0,4224.0,1109.0,1.0,1.0
Ekwok,AK,23.0,79.0,56.0,116.0,1.0,127.0,162784.0,15268.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Elim,AK,73.0,300.0,184.0,378.0,3.0,430.0,532006.0,51611.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Emmonak,AK,169.0,808.0,263.0,1324.0,0.0,0.0,1866059.0,0.0,1,1,,,,,,,,,,,,1333.5024174467646,5135.180125501492,1.0,5.0,33.0,1.0,103.0,47178.0,12386.0,1.0,1.0
Fairbanks,AK,10973.0,32578.0,15782.0,69677.0,502.0,24840.0,96119286.0,2981855.0,2,1,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,63544.92137194557,730663.8463569869,110.0,1078.0,7075.0,110.0,21801.0,9759446.0,2617073.0,1.0,1.0
False Pass,AK,42.0,64.0,56.0,280.0,2.0,280.0,395016.0,33630.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Fort Yukon,AK,150.0,568.0,230.0,1014.0,8.0,1101.0,1429433.0,132218.0,1,1,1070.716515,1409.262007,191.0,417.0,4199.0,47.0,7021.0,69341015.5,842786.0,1.0,1.0,,,,,,,,,,,
Galena,AK,170.0,524.0,329.0,790.0,0.0,0.0,1113574.0,0.0,1,1,1877.349426,3304.752895,191.0,417.0,4199.0,47.0,7021.0,69341015.5,842786.0,1.0,1.0,,,,,,,,,,,
Gambell,AK,138.0,690.0,350.0,719.0,6.0,819.0,1013345.0,98306.0,1,1,700.1930916,1143.54555,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Golovin,AK,44.0,132.0,112.0,230.0,2.0,262.0,324270.0,31458.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Goodnews Bay,AK,64.0,216.0,167.0,344.0,3.0,383.0,484480.0,45977.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Grayling,AK,30.0,165.0,50.0,195.0,2.0,230.0,274807.0,27585.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Gustavus,AK,231.0,472.0,256.0,2160.0,13.0,1765.0,3043205.0,211919.0,1,1,689.3934797999998,868.0119847000002,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Holy Cross,AK,41.0,216.0,69.0,266.0,2.0,314.0,375133.0,37656.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Homer,AK,2107.0,5418.0,3342.0,13013.0,821.0,82880.0,17951970.0,9949193.0,1,1,50279.60511,102810.1772,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,9870.203935509651,50656.259553114716,69.0,5079.0,33338.0,520.0,102735.0,45989951.0,12332570.0,2.0,1.0
Hoonah,AK,189.0,774.0,210.0,1773.0,11.0,1449.0,2498434.0,173983.0,1,1,1921.04152,2766.24804,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Hooper Bay,AK,225.0,1114.0,350.0,1760.0,0.0,0.0,2479317.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Hughes,AK,26.0,83.0,50.0,120.0,0.0,0.0,168723.0,0.0,1,1,273.22803,201.50582,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Huslia,AK,67.0,435.0,131.0,314.0,0.0,0.0,442899.0,0.0,1,1,273.22803,201.50582,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Hydaburg,AK,99.0,291.0,132.0,430.0,5.0,637.0,606509.0,76445.0,1,1,957.5886388,1568.487044,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Juneau,AK,12138.0,32524.0,13962.0,117913.0,415.0,54441.0,166147340.0,6535265.0,3,1,6221.92,10168.81,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,7649.32,39969.32,129.0,5886.0,38636.0,602.0,119062.0,54441395.0,14292466.0,2.0,2.0
Kachemak,AK,209.0,537.0,364.0,1418.0,57.0,5779.0,1955536.0,693739.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Kake,AK,180.0,627.0,282.0,1293.0,7.0,962.0,1822032.0,115474.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Kaktovik,AK,60.0,166.0,138.0,360.0,4.0,589.0,507406.0,70754.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Kaltag,AK,56.0,152.0,108.0,260.0,0.0,0.0,366973.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Kasaan,AK,31.0,93.0,42.0,136.0,2.0,202.0,191989.0,24198.0,1,1,286.41490939999994,573.1213402000002,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Kenai,AK,3085.0,7551.0,4328.0,16853.0,3431.0,346343.0,23248238.0,41575994.0,1,1,46384.69657,84450.57002999999,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,7553.586225677472,41301.444794063216,50.0,393.0,2577.0,40.0,7940.0,3554364.0,953131.0,1.0,1.0
Ketchikan,AK,3262.0,8189.0,4197.0,26235.0,107.0,14033.0,36966650.0,1684524.0,1,1,49647.51237,95946.03878,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,16972.456460877238,227639.93840491056,65.0,559.0,3668.0,57.0,11302.0,5168073.0,1356771.0,1.0,1.0
Kiana,AK,89.0,342.0,232.0,476.0,4.0,557.0,671230.0,66821.0,1,1,,,,,,,,,,,,,,,,,,,,,,
King Cove,AK,242.0,1080.0,319.0,1605.0,12.0,1604.0,2261465.0,192532.0,1,1,705.3679515,767.3723923,2.0,64.0,377.0,0.0,0.0,531324.0,0.0,1.0,1.0,863.4344616492618,6472.972992437884,2.0,880.0,5778.0,90.0,17804.0,8140966.0,2137243.0,1.0,1.0
Kivalina,AK,61.0,671.0,160.0,330.0,3.0,385.0,464698.0,46261.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Klawock,AK,302.0,856.0,434.0,1415.0,13.0,1687.0,1994409.0,202459.0,1,1,586.0173652999998,831.9891312000002,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Kobuk,AK,32.0,137.0,83.0,170.0,2.0,199.0,239390.0,23831.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Kodiak,AK,1964.0,6272.0,2549.0,14648.0,91.0,11913.0,20640551.0,1430044.0,1,1,,,,,,,,,,,,5650.674725693074,37500.045087690916,25.0,2800.0,18382.0,287.0,56647.0,25902075.0,6800056.0,2.0,1.0
Kotlik,AK,118.0,662.0,183.0,920.0,0.0,0.0,1296604.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Kotzebue,AK,944.0,3288.0,2174.0,4587.0,38.0,4976.0,6462887.0,597289.0,1,1,1665.587797,2545.9925120000007,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Koyuk,AK,68.0,261.0,173.0,356.0,3.0,405.0,501606.0,48662.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Koyukuk,AK,35.0,79.0,67.0,162.0,0.0,0.0,227776.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Kupreanof,AK,16.0,24.0,25.0,116.0,1.0,86.0,163355.0,10353.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Kwethluk,AK,181.0,787.0,471.0,969.0,8.0,1079.0,1364814.0,129522.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Larsen Bay,AK,45.0,47.0,60.0,345.0,2.0,285.0,486818.0,34188.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Lower Kalskag,AK,49.0,286.0,112.0,231.0,3.0,357.0,324965.0,42828.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Manokotak,AK,61.0,787.0,152.0,313.0,3.0,344.0,440473.0,41312.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Marshall,AK,86.0,343.0,133.0,671.0,0.0,0.0,946171.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
McGrath,AK,94.0,332.0,156.0,604.0,5.0,711.0,850592.0,85382.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Mekoryuk,AK,67.0,191.0,175.0,361.0,3.0,402.0,508113.0,48220.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Mountain Village,AK,168.0,838.0,261.0,1312.0,0.0,0.0,1848537.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Napakiak,AK,89.0,404.0,232.0,478.0,4.0,532.0,673545.0,63920.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Napaskiak,AK,106.0,424.0,275.0,566.0,5.0,631.0,797619.0,75695.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Nenana,AK,85.0,373.0,144.0,548.0,5.0,610.0,755804.0,73259.0,1,1,5733.933143,7771.902920999999,192.0,417.0,4199.0,47.0,7021.0,69593323.5,842786.0,1.0,1.0,,,,,,,,,,,
New Stuyahok,AK,58.0,566.0,143.0,294.0,2.0,324.0,414939.0,38917.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Newhalen,AK,16.0,143.0,22.0,111.0,1.0,116.0,156337.0,13925.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Nightmute,AK,48.0,233.0,124.0,256.0,2.0,285.0,360405.0,34203.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Nikolai,AK,23.0,120.0,38.0,149.0,1.0,175.0,209376.0,21017.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Nome,AK,1128.0,3782.0,2109.0,5602.0,53.0,6906.0,7893196.0,829060.0,1,1,20344.5655,48799.4122,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,863.4344616492618,6472.972992437884,66.5,2949.0,19357.5,301.5,59653.25,27276593.25,7160907.5,2.0,1.0
Nondalton,AK,29.0,186.0,41.0,204.0,2.0,214.0,288150.0,25666.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Noorvik,AK,106.0,605.0,277.0,570.0,5.0,666.0,802660.0,79905.0,1,1,,,,,,,,,,,,,,,,,,,,,,
North Pole,AK,781.0,2300.0,1382.0,6103.0,30.0,3890.0,8419654.0,466933.0,1,1,4521.019853,8489.309947,38.0,981.0,5811.0,0.0,0.0,8016189.0,0.0,1.0,1.0,10774.30927470256,188395.95969823533,11.0,678.0,83071.0,1295.0,255991.0,114596191.0,30729876.0,3.0,2.0
Nuiqsut,AK,93.0,347.0,215.0,563.0,7.0,921.0,793186.0,110604.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Nulato,AK,86.0,286.0,167.0,401.0,0.0,0.0,565223.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Nunam Iqua,AK,37.0,118.0,57.0,286.0,0.0,0.0,402999.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Nunapitchuk,AK,103.0,642.0,269.0,553.0,5.0,617.0,779894.0,74012.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Old Harbor,AK,67.0,302.0,90.0,518.0,3.0,427.0,730227.0,51281.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Ouzinkie,AK,56.0,189.0,76.0,434.0,3.0,358.0,612000.0,42979.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Palmer,AK,2086.0,6572.0,3151.0,16040.0,2529.0,255371.0,22127068.0,30655412.0,1,1,,,,,,,,,,,,1032.3837732611082,7298.635660107991,49.0,1449.0,9510.0,148.0,29305.0,13118623.0,3517863.0,1.0,1.0
Pelican,AK,37.0,79.0,41.0,342.0,2.0,280.0,482154.0,33576.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Petersburg,AK,841.0,2996.0,1318.0,6046.0,34.0,4498.0,8519570.0,539939.0,1,1,1963.177398,2766.8934050000007,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,933.828815798107,6581.853598572552,21.0,176.0,1153.0,18.0,3553.0,1624514.0,426483.0,1.0,1.0
Pilot Point,AK,20.0,49.0,28.0,141.0,1.0,148.0,199253.0,17748.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Pilot Station,AK,109.0,600.0,169.0,852.0,0.0,0.0,1200235.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Platinum,AK,24.0,28.0,63.0,130.0,1.0,145.0,183157.0,17382.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Point Hope,AK,152.0,604.0,350.0,915.0,11.0,1497.0,1288927.0,179731.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Port Alexander,AK,40.0,42.0,62.0,285.0,2.0,212.0,402104.0,25484.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Port Heiden,AK,17.0,73.0,24.0,122.0,1.0,127.0,171664.0,15291.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Port Lions,AK,72.0,240.0,97.0,558.0,4.0,460.0,785864.0,55188.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Quinhagak,AK,146.0,729.0,381.0,784.0,7.0,873.0,1104850.0,104851.0,1,1,213.0469156,610.5774365,0.0,77.0,458.0,0.0,0.0,645916.0,0.0,1.0,1.0,,,,,,,,,,,
Ruby,AK,69.0,214.0,135.0,323.0,0.0,0.0,455553.0,0.0,1,1,546.45606,403.0116399,192.0,417.0,4199.0,47.0,7021.0,69593323.5,842786.0,1.0,1.0,,,,,,,,,,,
Russian Mission,AK,59.0,401.0,91.0,460.0,0.0,0.0,648302.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Sand Point,AK,306.0,1248.0,404.0,2032.0,15.0,2031.0,2863864.0,243818.0,1,1,2735.775901,3828.853156,4.0,121.0,715.0,0.0,0.0,1007206.0,0.0,1.0,1.0,,,,,,,,,,,
Savoonga,AK,128.0,932.0,323.0,665.0,6.0,758.0,937344.0,90933.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Saxman,AK,109.0,422.0,153.0,956.0,0.0,0.0,1346529.0,0.0,1,1,152.8328476,292.3302186,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Scammon Bay,AK,83.0,521.0,130.0,653.0,0.0,0.0,919888.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Selawik,AK,125.0,807.0,326.0,670.0,6.0,782.0,943478.0,93923.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Seldovia,AK,81.0,247.0,137.0,533.0,5.0,624.0,734608.0,74905.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Seward,AK,707.0,2714.0,1212.0,6013.0,0.0,0.0,8294431.0,0.0,1,1,,,,,,,,,,,,863.4344616492618,6472.972992437884,12.0,40.0,264.0,4.0,814.0,364615.0,97774.0,1.0,1.0
Shageluk,AK,26.0,59.0,42.0,164.0,1.0,193.0,231187.0,23206.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Shaktoolik,AK,48.0,246.0,122.0,252.0,2.0,287.0,354671.0,34407.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Shishmaref,AK,104.0,539.0,264.0,543.0,5.0,618.0,765075.0,74221.0,1,1,1193.100729,1519.672949,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Shungnak,AK,45.0,290.0,118.0,243.0,2.0,284.0,342656.0,34111.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Sitka,AK,3504.0,8921.0,5330.0,25914.0,131.0,17231.0,36515006.0,2068475.0,1,1,6221.92,10168.81,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,45013.72941827431,309632.0788861966,49.0,370.0,2426.0,38.0,7477.0,3418859.0,897551.0,1.0,1.0
Soldotna,AK,1629.0,4471.0,2521.0,9816.0,1912.0,193006.0,13540689.0,23168926.0,1,1,,,,,,,,,,,,3524.1883986560933,23020.11075310835,47.0,4834.0,31731.0,495.0,97781.0,43772516.0,11737947.0,2.0,1.0
St. George,AK,18.0,74.0,26.0,129.0,1.0,109.0,181835.0,13071.0,1,1,,,,,,,,,,,,,,,,,,,,,,
St. Mary's,AK,166.0,521.0,258.0,1299.0,0.0,0.0,1831015.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,
St. Michael,AK,81.0,446.0,205.0,421.0,4.0,479.0,592807.0,57509.0,1,1,,,,,,,,,,,,,,,,,,,,,,
St. Paul,AK,57.0,525.0,80.0,402.0,3.0,339.0,566372.0,40713.0,1,1,239.352844,639.1069905,0.0,98.0,583.0,0.0,0.0,821650.0,0.0,1.0,1.0,,,,,,,,,,,
Stebbins,AK,106.0,513.0,267.0,550.0,5.0,626.0,775209.0,75204.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Tanana,AK,54.0,279.0,91.0,347.0,3.0,386.0,488340.0,46341.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Teller,AK,59.0,163.0,150.0,309.0,3.0,352.0,435738.0,42272.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Tenakee Springs,AK,85.0,172.0,95.0,800.0,5.0,654.0,1127113.0,78489.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Thorne Bay,AK,253.0,625.0,336.0,1096.0,12.0,1622.0,1544635.0,194687.0,1,1,1181.043347,2063.039926000001,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,517.0140568813339,1115.299444262831,9.0,445.0,2920.0,46.0,8998.0,4114587.0,1080200.0,1.0,1.0
Togiak,AK,116.0,771.0,287.0,591.0,5.0,651.0,833069.0,78134.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Toksook Bay,AK,106.0,503.0,275.0,566.0,5.0,631.0,797619.0,75695.0,1,1,213.0469156,610.5774365,0.0,139.0,823.0,0.0,0.0,1159829.0,0.0,1.0,1.0,,,,,,,,,,,
Unalakleet,AK,185.0,696.0,469.0,964.0,8.0,1097.0,1357882.0,131730.0,1,1,1605.896936,2704.901204,21.5,918.0,5437.5,0.0,0.0,7661612.0,0.0,1.0,1.0,863.4344616492618,6472.972992437884,17.0,3776.5,24788.75,386.5,76388.25,34909767.25,9169841.25,2.0,1.0
Unalaska,AK,938.0,4710.0,1766.0,4836.0,25.0,3262.0,6814658.0,391558.0,1,1,13030.47622,17414.74305,42.0,1893.0,11212.0,0.0,0.0,15797978.0,0.0,2.0,1.0,11639.24807460984,76651.41551072203,13.0,678.0,59274.0,924.0,182657.0,83520730.0,21926646.0,3.0,2.0
Upper Kalskag,AK,44.0,264.0,101.0,208.0,2.0,322.0,293261.0,38650.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Valdez,AK,1041.0,3930.0,1741.0,9139.0,53.0,6997.0,12877080.0,839893.0,1,1,,,,,,,,,,,,13002.929745057669,203402.62890214703,13.0,1540.0,10108.0,158.0,31148.0,14242694.0,3739126.0,1.0,1.0
Wainwright,AK,123.0,488.0,283.0,741.0,9.0,1213.0,1043972.0,145574.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Wales,AK,35.0,166.0,89.0,183.0,2.0,209.0,258403.0,25068.0,1,1,273.22803,201.50582,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,1.0,1.0,,,,,,,,,,,
Wasilla,AK,2929.0,8972.0,4021.0,20468.0,3033.0,306173.0,28235691.0,36753786.0,1,1,49874.41686000001,95572.24288,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,3313.223705666096,16391.706100057774,85.0,872.0,5725.0,89.0,17643.0,7898072.0,2117930.0,1.0,1.0
White Mountain,AK,55.0,168.0,138.0,284.0,2.0,323.0,400271.0,38831.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Whittier,AK,165.0,318.0,276.0,1451.0,8.0,1111.0,2045140.0,133392.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Wrangell,AK,1045.0,2401.0,1529.0,6358.0,59.0,7743.0,8958430.0,929514.0,1,1,,,,,,,,,,,,7097.658572123621,37301.447356828445,21.0,15.0,97.0,2.0,300.0,137380.0,36066.0,1.0,1.0
Abbeville,AL,997.0,2627.0,1914.0,15137.0,56.0,3198.0,24019127.0,383921.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Adamsville,AL,1652.0,4422.0,3004.0,23735.0,589.0,44649.0,37663451.0,5359832.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Addison,AL,252.0,757.0,522.0,4139.0,19.0,1452.0,6937997.0,174254.0,1,1,,,,,,,,,,,,,,,,,,,,,,
