city,state_abbr,r_housing_units,r_total_pop,r_elec_1kdollars,r_elec_mwh,r_gas_1kdollars,r_gas_mcf,r_elec_lb_ghg,r_gas_lb_ghg,r_elec_class,r_gas_class,c_elec_score,c_gas_score,c_num_establishments,c_elec_1kdollars,c_elec_mwh,c_gas_1kdollars,c_gas_mcf,c_elec_lb_ghg,c_gas_lb_ghg,c_elec_class,c_gas_class,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
Perryopolis,PA,752.0,1873.0,1104.0,9442.0,317.0,30811.0,16098279.0,3698600.0,1,1,4680.387217,6684.647778000001,58.0,513.0,5943.0,315.0,41331.0,10132065.0,4961433.0,1.0,2.0,,,,,,,,,,,
Peters,PA,9173.0,25118.0,13519.0,115400.0,6024.0,579974.0,196744544.0,69621685.0,3,1,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,45936.54948968321,193686.11840463465,168.0,3189.0,46067.0,1535.0,207473.0,78538776.0,24905623.0,2.0,2.0
Petersburg,PA,162.0,473.0,249.0,1668.0,19.0,1669.0,3214924.0,200293.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Petrolia,PA,91.0,199.0,120.0,1014.0,49.0,5823.0,1728380.0,698974.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,PA,31282.47,84618.63,37072.95,148728.62,20893.07,1794249.7,222856152.36,215386679.56,3,3,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,7649.32,39969.32,50.0,678.0,9253.0,327.5,57984.5,13496294.5,6960624.5,1.0,1.0
Philipsburg,PA,1334.0,2729.0,1449.0,9613.0,252.0,22070.0,18526395.0,2649287.0,1,1,7361.789372,11706.89674,87.0,885.0,8817.0,303.0,40278.0,16991627.0,4835108.0,1.0,2.0,1110.26223192596,5008.005998659851,12.0,103.0,1493.0,50.0,6726.0,2877974.0,807393.0,1.0,1.0
Phillipsburg,PA,6007.0,14570.0,6457.0,46447.0,2449.0,300791.0,89509751.0,36107792.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Phoenixville,PA,7511.0,16638.0,10790.0,72972.0,1986.0,223767.0,140626519.0,26861534.0,2,1,70809.29111,121952.0199,273.0,2517.0,24794.0,47.0,122769.0,47782150.0,14737549.0,2.0,3.0,7870.786018374071,31687.77905396248,51.0,321.0,4643.0,155.0,20913.0,8948619.0,2510465.0,1.0,1.0
Piatt,PA,423.0,1137.0,651.0,5000.0,60.0,6335.0,9635877.0,760450.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Picture Rocks,PA,247.0,742.0,392.0,2864.0,38.0,3934.0,5520154.0,472190.0,1,1,,,,,,,,,,,,,,,,,,,,,,
