city,state_abbr,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
South Hutchinson,KS,27286.38702384101,222351.7985776245,34.0,4455.0,59476.0,2383.0,645695.0,107105513.0,77511002.0,3,3
South Jordan,UT,128064.47239064342,1389594.8600452684,178.0,1972.0,31190.0,723.0,130937.0,38469890.0,15718054.0,3,2
South Kingstown,RI,70316.42385435921,346824.27806880913,156.0,4970.0,36862.0,3557.0,408854.0,40004621.0,49079995.0,3,3
South Lake Tahoe,CA,12418.811512147475,197166.88658109945,84.0,1852.0,15533.0,1602.0,235982.0,20798380.0,28327866.0,2,3
South Lake Tahoe,NV,37256.43453644243,591500.6597432982,84.0,1852.0,15533.0,1602.0,235982.0,20798380.0,28327866.0,2,3
South Lebanon,OH,899.5160371987096,2132.4391725185046,12.0,247.0,3543.0,93.0,19401.0,6041106.0,2328962.0,1,1
South Lebanon,PA,59606.296173211354,295154.82793229807,66.0,2399.0,34653.0,1155.0,156068.0,66780965.0,18734873.0,3,3
South Londonderry,PA,10298.879813846126,61882.282599997256,36.0,2220.0,32079.0,1069.0,144478.0,61821485.0,17343530.0,3,2
South Lyon,MI,1150.1643197641627,4346.288645229362,40.0,171.0,2473.0,79.0,13751.0,3227878.0,1650744.0,1,1
South Manheim,PA,258.50702844066694,557.6497221314155,10.0,538.0,7770.0,259.0,34994.0,14973775.0,4200774.0,2,2
South Middleton,PA,80236.48552762382,634218.4492117449,68.0,13898.0,200795.0,6692.0,904333.0,386959993.0,108558573.0,3,3
South Milwaukee,WI,57619.82923063628,253341.3229081613,51.0,636.0,8488.0,255.0,50572.0,14471687.0,6070784.0,2,2
South Newton,PA,957.3746630427664,3738.1730952190974,21.0,170.0,2461.0,82.0,11083.0,4742540.0,1330482.0,1,1
South Ogden,UT,1253.386042040556,7549.621979556403,55.0,249.0,3937.0,91.0,16526.0,4855452.0,1983844.0,2,1
South Orange Village,NJ,9591.544422301482,50273.28769362972,43.0,131.0,1288.0,71.0,10756.0,2481908.0,1291194.0,1,1
South Padre Island,TX,904.5417461410173,6670.610646372343,26.0,79.0,1474.0,57.0,21446.0,1973892.0,2574389.0,1,1
South Pasadena,CA,37988.64809992233,170273.77553001567,85.0,875.0,7344.0,758.0,111575.0,9833725.0,13393758.0,2,2
South Plainfield,NJ,510275.5641429098,3890636.1574247163,215.0,8087.0,79595.0,4381.0,664762.0,153389835.0,79799873.0,3,3
South Point,KY,168.94931161184647,825.662667670105,13.0,53.0,762.0,20.0,4171.0,1298631.0,500647.0,1,1
South Point,OH,168.94931161184647,825.662667670105,13.0,53.0,762.0,20.0,4171.0,1298631.0,500647.0,1,1
South Portland,ME,96422.22531898432,578429.0210888989,103.0,4601.0,51308.0,2600.0,338542.0,55683186.0,40639495.0,3,3
South Pymatuning,OH,3350.968168512829,13523.310325985825,130.0,824.0,11906.0,397.0,53622.0,20298663.0,6436958.0,2,2
South Pymatuning,PA,13403.872674051318,54093.2413039433,130.0,824.0,11906.0,397.0,53622.0,20298663.0,6436958.0,2,2
South Range,MI,2061.741274285868,7828.6607709021155,4.0,2.0,26.0,1.0,145.0,34007.0,17391.0,1,1
South River,NJ,111892.88389032695,1346315.2635713036,38.0,319.0,3143.0,173.0,26247.0,6056432.0,3150812.0,1,2
South Roxana,IL,60053.84426997468,887946.0983981576,10.0,253.0,3884.0,114.0,22670.0,3967794.0,2721403.0,2,2
South Salt Lake,UT,220625.26646177686,1178516.7926455615,377.0,6683.0,105670.0,2449.0,443613.0,130335479.0,53252557.0,3,3
South San Francisco,CA,721596.8585022803,6171491.9937811475,421.0,8693.0,72927.0,7523.0,1107951.0,97649931.0,133001428.0,3,3
South Sioux City,IA,26691.854248922216,130656.18137673926,62.0,7041.0,91532.0,3018.0,746935.0,99070635.0,89664050.0,3,3
South Sioux City,NE,53383.708497844455,261312.36275347852,62.0,7041.0,91532.0,3018.0,746935.0,99070635.0,89664050.0,3,3
South St. Paul,MN,133578.82271239412,889675.3967114668,83.0,31401.0,425984.0,13697.0,3268978.0,461069989.0,392416931.0,3,3
South Strabane,PA,15745.474162020439,72490.69110428856,71.0,13163.0,190169.0,6338.0,856473.0,324217308.0,102813341.0,3,3
South Thomaston,ME,720.0967225745272,2163.727375096308,10.0,17.0,186.0,9.0,1227.0,201771.0,147259.0,1,1
South Tucson,AZ,2590.532111019015,11029.64926661824,29.0,173.0,2856.0,22.0,3769.0,3668088.0,452484.0,1,1
South Union,PA,480.0644817163516,1442.4849167308719,47.0,526.0,7604.0,253.0,34248.0,12964380.0,4111166.0,2,2
South Weber,UT,809.8063798866184,2148.083273807406,10.0,6.0,95.0,2.0,397.0,116704.0,47683.0,1,1
South Whitley,IN,289.89202709620946,1151.9614472276946,21.0,235.0,3374.0,135.0,26957.0,5752512.0,3236048.0,1,2
South Windsor,CT,504349.45472483156,2662364.2564221183,208.0,3976.0,31013.0,1356.0,223356.0,33657087.0,26812268.0,3,3
South Woodbury,PA,1866.9046248320856,5766.364421416234,45.0,277.0,4002.0,133.0,18026.0,7713280.0,2163900.0,2,1
Southampton,MA,20290.01716455077,183829.54191018376,31.0,178.0,1329.0,60.0,8092.0,1441899.0,971367.0,1,1
Southampton,MD,517.0140568813339,1115.299444262831,27.0,256.0,3696.0,123.0,16642.0,6299817.0,1997750.0,1,1
Southampton,NJ,23377.806440809032,181216.2081348084,62.0,340.0,3349.0,184.0,27971.0,6454167.0,3357730.0,1,2
Southampton,NY,777585.4925748202,7383376.981781959,370.0,1001.0,16597.0,428.0,72309.0,30963944.0,8680174.0,2,2
Southampton,PA,24302.325665033724,85266.23506148107,176.0,4747.0,68580.0,2286.0,308862.0,131339553.0,37076661.0,3,3
Southaven,MS,33270.461549563035,173885.86983725266,134.0,3086.0,53261.0,1674.0,384871.0,89281642.0,46200938.0,3,3
Southaven,TN,6654.0923099126085,34777.173967450515,134.0,3086.0,53261.0,1674.0,384871.0,89281642.0,46200938.0,3,3
Southborough,MA,61125.532225162686,437549.0304718662,47.0,5410.0,40449.0,1823.0,246353.0,43898011.0,29572865.0,3,3
Southbridge Town,CT,21207.91763787218,88124.43943169399,80.0,4689.0,35063.0,1580.0,213550.0,38052803.0,25635111.0,3,3
Southbridge Town,MA,84831.67055148871,352497.75772677595,80.0,4689.0,35063.0,1580.0,213550.0,38052803.0,25635111.0,3,3
Southbury,CT,196407.26105533235,3123265.125162575,96.0,1381.0,10772.0,471.0,77582.0,11690669.0,9313145.0,2,2
Southeast,CT,104085.28623138023,495267.1041355314,95.0,455.0,7548.0,195.0,32887.0,13591447.0,3947791.0,2,2
Southeast,NY,138780.3816418403,660356.138847375,95.0,455.0,7548.0,195.0,32887.0,13591447.0,3947791.0,2,2
Southfield,MI,551248.0224458755,5247154.249072285,533.0,9160.0,132531.0,4237.0,736943.0,172984549.0,88464670.0,3,3
Southgate,MI,109065.79363979546,662138.1064698132,57.0,159.0,2303.0,74.0,12804.0,3005553.0,1537046.0,1,1
Southington,CT,644057.0126656863,4161136.810776548,233.0,4194.0,32715.0,1430.0,235617.0,35504666.0,28284105.0,3,3
Southlake,TX,96878.67093452653,634050.6484274841,207.0,1518.0,28496.0,1099.0,414546.0,38155564.0,49763234.0,3,3
Southold,NY,287523.8119951086,1291410.2417855076,203.0,598.0,9916.0,256.0,43201.0,18499261.0,5185929.0,2,2
Southport,ME,506.8479348355394,2476.988003010315,7.0,29.0,329.0,17.0,2170.0,356950.0,260515.0,1,1
Southport,NY,21274.41244357927,188612.31478727868,68.0,815.0,13519.0,349.0,58900.0,24342340.0,7070512.0,2,2
Southport,PA,15955.80933268445,141459.23609045902,68.0,815.0,13519.0,349.0,58900.0,24342340.0,7070512.0,2,2
Southwest City,MO,2196.9368790960266,11608.153117939375,17.0,2326.0,32672.0,968.0,153844.0,33377561.0,18467804.0,3,3
Southwest City,OK,4393.873758192053,23216.30623587875,17.0,2326.0,32672.0,968.0,153844.0,33377561.0,18467804.0,3,3
Southwest Harbor,ME,32999.19804745557,135568.21174131974,24.0,625.0,6964.0,353.0,45952.0,7558099.0,5516160.0,2,2
Southwick,CT,30038.07742968029,193767.63777452518,80.0,2564.0,19173.0,864.0,116775.0,20808269.0,14017950.0,2,2
Southwick,MA,40050.769906240384,258356.85036603358,80.0,2564.0,19173.0,864.0,116775.0,20808269.0,14017950.0,2,2
Spanish Fork,UT,168750.8178271995,997308.0951401913,140.0,3020.0,47751.0,1107.0,200462.0,58896473.0,24063961.0,3,3
Sparkman,AR,517.0140568813339,1115.299444262831,6.0,623.0,10252.0,321.0,55523.0,16358667.0,6665094.0,2,2
Sparks,NV,455747.4285326324,4015319.5296087377,452.0,60496.0,1028440.0,8228.0,1394615.0,1268499314.0,167413309.0,3,3
Sparta,MI,12600.547605378648,100509.50396651986,35.0,7532.0,108972.0,3484.0,605946.0,142235148.0,72739360.0,3,3
Sparta,NJ,114861.72387456095,718605.4993215682,127.0,2542.0,25020.0,1377.0,208960.0,48216265.0,25084138.0,3,3
