,city,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id
44324,Fredonia,5.0,28.0,304.0,9.0,1506.0,328635.0,180803.0,IA
44327,Conesville,2.0,22.0,235.0,14.0,2295.0,254803.0,275530.0,IA
44329,Grand Mound,17.0,100.0,1094.0,31.0,4889.0,1184004.0,586892.0,IA
44331,De Witt,175.0,1264.0,13845.0,534.0,83587.0,14985479.0,10034006.0,IA
44333,Dixon,3.0,18.0,198.0,6.0,958.0,214336.0,114944.0,IA
44334,Donahue,3.0,96.0,1046.0,13.0,2158.0,1131977.0,258992.0,IA
44335,Durant,40.0,217.0,2377.0,77.0,12758.0,2572368.0,1531542.0,IA
44337,Eldridge,87.0,1577.0,17263.0,305.0,51849.0,18684692.0,6224136.0,IA
44338,Long Grove,4.0,278.0,3039.0,34.0,5674.0,3289732.0,681089.0,IA
44339,Fruitland,4.0,37.0,405.0,24.0,3945.0,437923.0,473546.0,IA
44340,Muscatine,462.0,4752.0,52035.0,1605.0,265628.0,56320927.0,31886713.0,IA
44346,Princeton,12.0,43.0,471.0,14.0,2285.0,509611.0,274282.0,IA
44348,Letts,7.0,35.0,387.0,12.0,1922.0,419333.0,230702.0,IA
44349,Lone Tree,13.0,179.0,1962.0,53.0,8833.0,2123413.0,1060307.0,IA
44350,McCausland,4.0,14.0,156.0,5.0,757.0,168803.0,90853.0,IA
44354,Wilton,58.0,507.0,5550.0,201.0,33197.0,6006973.0,3985080.0,IA
44357,New Liberty,5.0,25.0,271.0,8.0,1312.0,293638.0,157471.0,IA
44358,Nichols,10.0,42.0,460.0,26.0,4221.0,497827.0,506721.0,IA
44360,Stockton,1.0,4.0,48.0,2.0,259.0,51850.0,31139.0,IA
44361,Walcott,28.0,152.0,1667.0,49.0,8164.0,1803961.0,980065.0,IA
44362,Tipton,129.0,516.0,5645.0,253.0,39616.0,6110053.0,4755659.0,IA
44363,Maysville,47.25,209.5,2293.75,89.5,14261.75,2482440.0,1712061.75,IA
44366,West Liberty,76.0,317.0,3468.0,192.0,31826.0,3753383.0,3820443.0,IA
44367,Toronto,6.0,36.0,399.0,11.0,1781.0,431358.0,213817.0,IA
44368,Wheatland,22.0,127.0,1393.0,40.0,6228.0,1508230.0,747606.0,IA
44382,Adell,11.0,77.0,668.0,21.0,3063.0,1138385.0,367649.0,WI
44383,Allenton,37.0,229.0,1973.0,108.0,16541.0,3363727.0,1985643.0,WI
44384,Fredonia,56.0,415.0,3577.0,164.0,24184.0,6099088.0,2903110.0,WI
44385,Belgium,55.0,468.0,4037.0,181.0,26591.0,6883402.0,3191996.0,WI
44386,New Berlin,684.0,13580.0,117049.0,1725.0,289987.0,199555464.0,34810764.0,WI
44387,Brookfield,864.0,22333.0,192497.0,3601.0,574325.0,328186088.0,68943514.0,WI
44388,Wauwatosa,951.0,19413.0,167322.0,4022.0,591893.0,285266502.0,71052474.0,WI
44389,West Allis,1078.0,21789.0,187808.0,5242.0,778182.0,320192346.0,93415030.0,WI
44390,Menomonee Falls,552.0,17845.0,153813.0,2996.0,442207.0,262235405.0,53083760.0,WI
44391,Butler,53.0,882.0,7601.0,155.0,22761.0,12959030.0,2732247.0,WI
44392,Elm Grove,179.0,2389.0,20593.0,714.0,111070.0,35109391.0,13333093.0,WI
44393,Lomira,41.0,304.0,2636.0,134.0,23338.0,4493529.0,2801558.0,WI
44394,Brownsville,9.0,63.0,550.0,28.0,4866.0,717332.0,584158.0,WI
44397,Milwaukee,8720.0,199322.0,1717998.0,43663.0,6465508.0,2929003518.0,776136993.0,WI
44400,Kewaskum,77.0,1400.0,12063.0,275.0,42332.0,20566375.0,5081597.0,WI
44401,Eden,12.0,96.0,829.0,58.0,9729.0,1413714.0,1167874.0,WI
44402,Campbellsport,66.0,575.0,4990.0,112.0,17165.0,8508119.0,2060537.0,WI
44403,Cascade,13.0,69.0,596.0,24.0,3753.0,1016535.0,450514.0,WI
44404,Cedarburg,164.0,2717.0,23423.0,638.0,93836.0,39934450.0,11264359.0,WI
44405,Germantown,231.0,6191.0,53365.0,1189.0,174955.0,90981061.0,21002028.0,WI
44406,Grafton,162.0,3611.0,31123.0,811.0,119368.0,53060738.0,14329234.0,WI
44407,Mequon,543.0,11317.0,97548.0,2932.0,431447.0,166308532.0,51792054.0,WI
44409,Cedar Grove,21.0,116.0,1010.0,44.0,6526.0,1721093.0,783416.0,WI
44410,Collins,10.0,85.0,907.0,65.0,10668.0,1183693.0,1280627.0,WI
44411,Chilton,131.0,1940.0,17808.0,1003.0,165451.0,23244225.0,19861142.0,WI
44412,Stockbridge,19.0,165.0,1514.0,49.0,7709.0,1976704.0,925434.0,WI
44413,Cleveland,43.0,324.0,2959.0,168.0,27684.0,3862804.0,3323241.0,WI
44414,Clyman,16.0,123.0,1068.0,68.0,10642.0,1393518.0,1277453.0,WI
44415,Richfield,203.0,1573.0,13556.0,345.0,52448.0,23111563.0,6296058.0,WI
44418,Delafield,215.0,4570.0,39394.0,680.0,114615.0,67162043.0,13758692.0,WI
44419,Wales,49.0,466.0,4018.0,106.0,17963.0,6850787.0,2156273.0,WI
44420,Nashotah,24.0,217.0,1866.0,37.0,6315.0,3181544.0,758031.0,WI
44421,Summit,50.0,1037.0,8947.0,124.0,20987.0,15254319.0,2519357.0,WI
44423,Elkhart Lake,32.0,234.0,2018.0,130.0,21484.0,3440373.0,2579010.0,WI
44425,Newburg,44.0,640.0,5517.0,211.0,30981.0,9405699.0,3719027.0,WI
44426,Waubeka,10.0,71.0,612.0,28.0,4158.0,1043492.0,499157.0,WI
44427,Saukville,80.0,1084.0,9343.0,403.0,59360.0,15928292.0,7125760.0,WI
44433,Greenbush,2.0,9.0,74.0,5.0,831.0,126809.0,99809.0,WI
44434,Glenbeulah,17.0,93.0,799.0,54.0,8931.0,1362114.0,1072100.0,WI
44436,Port Washington,242.0,3165.0,27276.0,928.0,136529.0,46501862.0,16389260.0,WI
44440,Slinger,100.0,907.0,7816.0,256.0,37642.0,13326171.0,4518702.0,WI
44442,Hartford,256.0,3315.0,28609.0,750.0,110409.0,48775797.0,13253764.0,WI
44444,Merton,30.0,207.0,1787.0,39.0,6605.0,3047309.0,792889.0,WI
44445,Chenequa,7.0,47.0,403.0,9.0,1356.0,687066.0,162817.0,WI
44446,Hartland,141.0,1682.0,14494.0,409.0,69210.0,24710224.0,8308168.0,WI
44447,Hingham,11.0,80.0,693.0,23.0,3543.0,1180726.0,425339.0,WI
44448,Horicon,67.0,552.0,4888.0,137.0,23757.0,6380193.0,2851865.0,WI
44449,Mayville,92.0,1717.0,14893.0,364.0,63223.0,19439719.0,7589420.0,WI
44452,Hustisford,35.0,219.0,1896.0,76.0,12067.0,2474546.0,1448607.0,WI
44453,Iron Ridge,14.0,88.0,764.0,30.0,4702.0,1303275.0,564409.0,WI
44454,Ashippun,3.0,32.0,275.0,5.0,754.0,469038.0,90496.0,WI
44455,Ixonia,24.0,309.0,2659.0,89.0,13798.0,4533430.0,1656289.0,WI
44456,Lac La Belle,8.0,87.0,752.0,17.0,2952.0,1282205.0,354313.0,WI
44458,Jackson,98.0,1251.0,10786.0,312.0,45963.0,18389496.0,5517576.0,WI
44459,Johnson Creek,58.0,1272.0,10967.0,154.0,26121.0,18697957.0,3135619.0,WI
44462,Juneau,47.0,659.0,5721.0,91.0,15552.0,7467181.0,1866903.0,WI
44464,West Bend,553.0,11182.0,96384.0,1958.0,288139.0,164324577.0,34588961.0,WI
44465,St. Nazianz,31.0,231.0,2484.0,230.0,37943.0,3242269.0,4554806.0,WI
44466,Kiel,99.0,2530.0,27032.0,559.0,92195.0,35284070.0,11067316.0,WI
44467,Sheboygan,780.0,15252.0,135592.0,6494.0,1070791.0,176983983.0,128540601.0,WI
44468,Kohler,25.0,353.0,3063.0,176.0,29086.0,3998240.0,3491532.0,WI
44469,Sheboygan Falls,166.0,1245.0,10802.0,820.0,135198.0,18416560.0,16229483.0,WI
44473,Pewaukee,180.0,7436.0,64088.0,1030.0,172464.0,109263740.0,20702997.0,WI
44474,Waukesha,1048.0,22994.0,198190.0,3940.0,666530.0,337893558.0,80012045.0,WI
44476,Lannon,57.0,429.0,3699.0,166.0,25742.0,6306867.0,3090093.0,WI
44478,St. Peter,10.0,76.0,659.0,51.0,8578.0,860236.0,1029674.0,WI
44480,Kekoskee,2.0,16.0,144.0,6.0,1088.0,187525.0,130610.0,WI
44484,Sussex,85.0,2465.0,21246.0,285.0,43470.0,36222438.0,5218241.0,WI
44491,Mount Calvary,23.0,150.0,1303.0,53.0,8803.0,2222259.0,1056735.0,WI
44493,Okauchee Lake,52.0,659.0,5683.0,150.0,25353.0,9689277.0,3043495.0,WI
44497,Neosho,7.0,79.0,680.0,12.0,1863.0,1159137.0,223645.0,WI
44499,New Holstein,89.0,911.0,8362.0,726.0,119670.0,10913979.0,14365456.0,WI
44501,Oakfield,21.0,167.0,1448.0,102.0,16994.0,1890591.0,2040001.0,WI
44502,Oconomowoc,284.0,6492.0,56034.0,964.0,163109.0,95531703.0,19580029.0,WI
44509,Dousman,47.0,549.0,4733.0,193.0,32581.0,8068424.0,3911053.0,WI
44510,Oconomowoc Lake,22.0,632.0,5457.0,89.0,15039.0,9303518.0,1805302.0,WI
44515,Oostburg,76.0,434.0,3762.0,163.0,24029.0,6414183.0,2884535.0,WI
44517,Gibbsville,2.0,12.0,105.0,3.0,537.0,178856.0,64430.0,WI
44522,Pewaukee,163.0,4896.0,42198.0,682.0,113352.0,71943632.0,13607103.0,WI
44525,Plymouth,186.0,5416.0,46936.0,1760.0,290331.0,80020081.0,34852153.0,WI
44531,Random Lake,25.0,180.0,1553.0,48.0,7125.0,2648509.0,855353.0,WI
44535,St. Cloud,8.0,50.0,437.0,18.0,2950.0,744653.0,354100.0,WI
44541,Howards Grove,53.0,517.0,4484.0,376.0,61993.0,5852528.0,7441786.0,WI
44560,Theresa,9.0,66.0,574.0,29.0,5083.0,978773.0,610230.0,WI
44561,River Hills,0.0,143.0,1235.0,30.0,4384.0,2105666.0,526272.0,WI
44563,Brown Deer,197.0,5394.0,46488.0,991.0,145837.0,79257241.0,17506668.0,WI
44564,Thiensville,97.0,1129.0,9727.0,324.0,47666.0,16583869.0,5722006.0,WI
