city,state_abbr,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
Morganville,KS,1105.540817492828,1097.960401472481,211.0,3865.75,38918.75,592.0,80890.75,70085734.75,9710363.25
Morganza,LA,254.71829209458238,393.8462651069133,7.0,36.0,329.0,0.0,0.0,524226.0,30.0
Moriah,NY,22871.741155354808,44611.922834393,96.0,1060.0,10005.0,0.0,0.0,18014119.0,0.0
Moriarty,NM,18837.08787618732,27638.483963535637,74.0,1181.0,12146.0,227.0,30444.0,15599374.0,3654594.0
Morley,MI,163.78123221332459,339.4319392182561,7.0,47.0,396.0,3.0,476.0,516283.0,57181.0
Morning Sun,IA,3018.2653317694317,6076.805081904189,20.0,92.0,1010.0,45.0,7019.0,1093003.0,842636.0
Morningside,MD,6066.499515072113,11191.678078767483,13.0,373.0,3157.0,83.0,9661.0,6084521.0,1159751.0
Moro,ME,108.07441936539091,185.00531566895646,1.0,12.0,78.0,0.0,0.0,84363.0,0.0
Moro,OR,1625.8246721343958,1913.3903641042166,6.0,75.0,820.0,0.0,0.0,1011372.0,0.0
Morocco,IN,1640.8854156509808,2460.831368624817,28.0,271.0,2304.0,61.0,10290.0,3928014.0,1235267.0
Moroni,UT,4423.898641274952,10125.591490268887,29.0,218.0,2469.0,99.0,13363.0,3045612.0,1604185.0
Morral,OH,276.73390303067794,338.98226745217073,5.0,75.0,741.0,7.0,1308.0,1262641.0,157051.0
Morrice,MI,1861.1681015798958,2766.85871909928,16.0,253.0,2412.0,66.0,10044.0,3147938.0,1205677.0
Morrill,KS,290.33254205363113,298.35871552642936,13.0,115.0,1157.0,10.0,1329.0,2084162.0,159577.0
Morrill,ME,2845.662791073196,4504.8140844932,4.0,31.0,258.0,0.0,0.0,280221.0,0.0
Morrill,NE,707.4481960723973,1345.1906932516868,13.0,41.0,341.0,0.0,0.0,369582.0,0.0
Morrilton,AR,46725.02533770395,79195.37943817965,134.0,1637.0,19965.0,541.0,85049.0,31856605.0,10209567.0
Morris,CT,33309.092284838414,50373.31253769057,78.0,567.0,3561.0,0.0,1.0,3864409.0,62.0
Morris,IL,45839.59797754649,95844.56973525323,239.0,5089.0,57986.0,1354.0,224515.0,98859515.0,26951419.0
Morris,MN,37572.53673677437,81839.58540778825,111.0,3005.0,36023.0,1.0,106.0,38990092.0,12696.0
Morris,NJ,566552.7595384461,1184381.3444567758,456.0,13926.0,119009.0,2841.0,392585.0,229346407.0,47126930.0
Morris,NY,21202.604030995582,38648.19621385317,50.0,269.0,2521.0,118.0,20294.0,4539588.0,2436196.0
Morris,OK,5671.109726187568,9003.237416266682,26.0,205.0,2691.0,25.0,3638.0,5710283.0,436676.0
Morris,PA,23970.45380035556,43057.011590957234,41.0,323.0,3544.0,162.0,21208.0,6393182.0,2545894.0
Morris Plains,NJ,39304.6637962574,63430.261592235205,128.0,9796.0,83712.0,1885.0,247285.0,161324610.0,29684724.0
Morrison,CO,3000.111611547465,4831.736539128662,22.0,203.0,2174.0,42.0,7711.0,3810369.0,925646.0
Morrison,IA,477.70249268099786,761.1312606577029,4.0,20.0,224.0,8.0,1405.0,242121.0,168664.0
Morrison,IL,18121.01962396676,46048.47698872077,91.0,528.0,6048.0,228.0,37749.0,10310404.0,4531512.0
Morrison,OK,961.5196637785878,1419.6657165360625,8.0,74.0,978.0,15.0,2248.0,2075155.0,269914.0
Morrisonville,IL,1871.814351624314,2834.4486483044093,13.0,149.0,1668.0,0.0,0.0,1704358.0,0.0
Morristown,IN,3224.7101757988066,4731.3480235937295,24.0,131.0,1459.0,48.0,7142.0,2487706.0,857367.0
Morristown,MN,2492.5366534414443,5085.800383442105,18.0,117.0,1187.0,65.0,10849.0,1284554.0,1302364.0
Morristown,NJ,125746.87789502642,271216.9822326816,560.0,13874.0,118562.0,3580.0,494622.0,228485527.0,59375798.0
Morristown,NY,12488.114338773796,26431.39408477321,47.0,182.0,1734.0,0.0,0.0,3122193.0,0.0
Morristown,OH,1999.7903976642813,5270.101231133097,17.0,151.0,1487.0,53.0,9610.0,2535517.0,1153662.0
Morristown,TN,447981.1998807796,922337.3741714795,748.0,22798.0,211784.0,2159.0,276827.0,355015655.0,33231070.0
Morristown,VT,206074.21920934983,433308.9717776275,181.0,2281.0,14737.0,0.0,0.0,15993535.0,0.0
Morrisville,NJ,19703.179324057317,35433.76992554311,182.0,1160.0,11422.0,485.0,58633.0,22011836.0,7038518.0
Morrisville,PA,19703.179324057317,35433.76992554311,182.0,1160.0,11422.0,485.0,58633.0,22011836.0,7038518.0
Morro Bay,CA,97221.60402169326,173234.14114333835,328.0,5838.0,31476.0,728.0,85169.0,42146213.0,10223935.0
Morrow,OH,1818.756223447075,3105.378927416107,45.0,254.0,2880.0,112.0,16118.0,4910347.0,1934892.0
Morse,LA,36.024806455130296,61.66843855631882,6.0,51.0,504.0,7.0,912.0,803400.0,109485.0
Morse Bluff,NE,144.9039546031697,262.384073506482,3.0,15.0,179.0,2.0,415.0,193643.0,49860.0
Morton,IL,214406.18152665204,385650.51358769025,260.0,2714.0,30531.0,1099.0,170097.0,31190752.0,20418908.0
Morton,MN,476.91425697718694,624.1716267537802,14.0,57.0,573.0,56.0,10112.0,620700.0,1213894.0
Morton,MS,16409.804583987025,41395.13922768957,68.0,796.0,9974.0,94.0,12354.0,16719919.0,1483017.0
