zip,city,city_vmt_estimate,natl_avg_vmt_estimate,natl_per_capita_vmt_estimate
01036,East Longmeadow,90865209,75422411,7555
01036,Hampden,14584108,75422411,7555
01036,Somers,57576149,75422411,7555
01036,Wilbraham,90935456,75422411,7555
01036,Stafford,64054973,75422411,7555
01037,Hardwick,11037130,75422411,7555
01038,Hadley,70351957,75422411,7555
01038,Whately,57064812,75422411,7555
01038,Hatfield,59057585,75422411,7555
01038,Northampton,244998726,75422411,7555
01038,Sunderland,14913439,75422411,7555
01039,Conway,8931146,75422411,7555
01039,Whately,57064812,75422411,7555
01039,Hatfield,59057585,75422411,7555
01039,Northampton,244998726,75422411,7555
01039,Williamsburg,22810955,75422411,7555
01040,West Springfield Town,287461413,75422411,7555
01040,Southampton,34997489,75422411,7555
01040,Hadley,70351957,75422411,7555
01040,Westfield,244329883,75422411,7555
01040,Holyoke,369352827,75422411,7555
01040,Easthampton Town,77342110,75422411,7555
01040,Chicopee,832737316,75422411,7555
01040,South Hadley,74743061,75422411,7555
01050,Southampton,34997489,75422411,7555
01050,Chesterfield,4660017,75422411,7555
01050,Huntington,11280576,75422411,7555
01050,Worthington,5096694,75422411,7555
01050,Russell,53314572,75422411,7555
01050,Blandford,90129994,75422411,7555
01050,Montgomery,2726129,75422411,7555
01050,Chester,8886866,75422411,7555
01050,Westhampton,3998516,75422411,7555
01053,Northampton,244998726,75422411,7555
01053,Williamsburg,22810955,75422411,7555
01054,Wendell,4787459,75422411,7555
01054,Montague,31503743,75422411,7555
01054,Amherst,104715304,75422411,7555
01054,Sunderland,14913439,75422411,7555
01054,Leverett,10566721,75422411,7555
01054,Shutesbury,9731589,75422411,7555
01056,Palmer Town,201477532,75422411,7555
01056,Ludlow,182389354,75422411,7555
01056,Granby,43828182,75422411,7555
01056,Chicopee,832737316,75422411,7555
01056,Springfield,1093522169,75422411,7555
01056,Belchertown,83023322,75422411,7555
01056,Wilbraham,90935456,75422411,7555
01057,Monson,23392629,75422411,7555
01057,Palmer Town,201477532,75422411,7555
01057,Brimfield,80445383,75422411,7555
01057,Hampden,14584108,75422411,7555
01057,Wilbraham,90935456,75422411,7555
01057,Stafford,64054973,75422411,7555
01057,Wales,4201400,75422411,7555
01060,Hadley,70351957,75422411,7555
01060,Easthampton Town,77342110,75422411,7555
01060,Hatfield,59057585,75422411,7555
01060,Northampton,244998726,75422411,7555
01062,Easthampton Town,77342110,75422411,7555
01062,Hatfield,59057585,75422411,7555
01062,Northampton,244998726,75422411,7555
01062,Westhampton,3998516,75422411,7555
01062,Williamsburg,22810955,75422411,7555
01063,Northampton,244998726,75422411,7555
01068,North Brookfield,21067815,75422411,7555
01068,Barre,25318691,75422411,7555
01068,New Braintree,6857832,75422411,7555
01068,Oakham,12450898,75422411,7555
01068,Rutland,31602348,75422411,7555
01068,Spencer,50231404,75422411,7555
01069,Ware,47543692,75422411,7555
01069,Monson,23392629,75422411,7555
01069,Palmer Town,201477532,75422411,7555
01069,Brimfield,80445383,75422411,7555
01069,Belchertown,83023322,75422411,7555
01069,Warren,90853533,75422411,7555
01069,Wilbraham,90935456,75422411,7555
01070,Savoy,6105746,75422411,7555
01070,Hawley,1958008,75422411,7555
01070,Plainfield,5043473,75422411,7555
01070,Windsor,13096326,75422411,7555
01070,Cummington,11988201,75422411,7555
01070,Ashfield,8818513,75422411,7555
01071,Westfield,244329883,75422411,7555
01071,Huntington,11280576,75422411,7555
01071,Russell,53314572,75422411,7555
01071,Blandford,90129994,75422411,7555
01071,Montgomery,2726129,75422411,7555
01072,New Salem,16397328,75422411,7555
01072,Wendell,4787459,75422411,7555
01072,Amherst,104715304,75422411,7555
01072,Pelham,13579071,75422411,7555
01072,Leverett,10566721,75422411,7555
01072,Shutesbury,9731589,75422411,7555
01073,Southampton,34997489,75422411,7555
