city,state_abbr,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
Newmarket,NH,10568.416533183101,45747.01589726801,27.0,213.0,1728.0,63.0,7302.0,1874831.0,876584.0,Normal,Normal
Newport,AR,800.8372650189308,2536.585274084768,94.0,1738.0,28604.0,895.0,154910.0,45641252.0,18595845.0,High,High
Newport,DE,3212.2754311003832,8301.934513112636,36.0,1866.0,23043.0,2893.0,320733.0,44406598.0,38501673.0,High,High
Newport,ID,735.0638395590938,5565.522657685242,12.0,915.0,20630.0,476.0,63690.0,25445333.0,7645530.0,High,Normal
Newport,KY,84747.06146925384,411543.6620359958,60.0,1162.0,20510.0,315.0,83685.0,34967317.0,10045802.0,High,Normal
Newport,ME,3949.962944166473,13875.213830453162,30.0,189.0,2106.0,107.0,13895.0,2285404.0,1667966.0,Normal,Normal
Newport,MN,41267.421726697605,284315.653299424,18.0,116.0,1579.0,51.0,12117.0,1709090.0,1454608.0,Normal,Normal
Newport,NY,4174.839561650519,15462.825402301378,30.0,288.0,4768.0,123.0,20771.0,8584245.0,2493392.0,Normal,Normal
Newport,OH,21186.76536731346,102885.91550899897,60.0,1162.0,20510.0,315.0,83685.0,34967317.0,10045802.0,High,Normal
Newport,OR,27348.683900451342,151347.3802356134,69.0,313.0,5181.0,135.0,23576.0,6389754.0,2830125.0,Normal,Normal
Newport,RI,33085.84048895902,244804.5816580496,115.0,517.0,3836.0,370.0,42547.0,4163036.0,5107455.0,Normal,Normal
Newport,TN,168.94931161184647,825.662667670105,36.0,1248.0,21986.0,510.0,114805.0,36855146.0,13781556.0,High,Normal
Newport,VT,13288.346351649758,199774.20190020566,57.0,644.0,6291.0,49.0,9449.0,6826807.0,1134249.0,Normal,Normal
Newport,WA,735.0638395590938,5565.522657685242,12.0,915.0,20630.0,476.0,63690.0,25445333.0,7645530.0,High,Normal
Newport Beach,CA,7649.32,39969.32,50.0,678.0,9253.0,327.5,57984.5,13496294.5,6960624.5,Normal,Normal
Newport News,VA,57167.39512577871,315410.43530002487,50.0,678.0,9253.0,327.5,57984.5,13496294.5,6960624.5,Normal,Normal
