,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,k distances,local outlier factor
11319,6769728.391768706,12949451.75758623,2429.0,81661.0,770696.0,9797.0,1371247.0,1387883757.0,164608182.0,823930726.2658155,1.0003401168312909
10974,6974198.160671651,12672121.198073694,7043.0,182639.0,984793.0,34600.0,4181424.0,1318646783.0,501949404.0,849857467.0959028,1.007874254782732
748,8383823.172612213,13241172.59487769,4351.0,118655.0,729573.0,25000.0,3786557.0,1361103455.0,454548483.0,862993897.9510407,1.0143953938968635
16729,3019.896241110131,3749.0346202521273,50.0,484.0,5420.0,600.0,78885.0,5537355.0,9469578.0,5730629.956991638,1.0201389227078237
7394,4556.624813824524,8573.237315880031,36.0,504.0,5453.0,603.0,79333.0,5570752.0,9523309.0,5786814.805123892,1.03244283558473
6004,1624.292560323565,2842.2910226957697,12.0,94.0,1051.0,131.0,17171.0,1073589.0,2061227.0,1256545.8535203678,1.0404872365864923
3840,113316.48222491208,188070.21876375363,271.0,265.0,2683.0,497.0,62762.0,4281684.0,7534176.0,4488330.906205039,1.0428753765863377
3888,19283601.909915823,33799719.23720817,13202.0,101587.0,993116.0,0.0,0.0,1296255508.0,14.0,773445086.5814786,1.0457446811941526
16269,46226.833129885264,96607.45684221775,203.0,1720.0,22579.0,1931.0,255930.0,27848901.0,30722466.0,18434867.629467707,1.0461104628094215
3695,1555956.798207194,3108688.4867049605,3200.0,74207.0,831825.0,8981.0,1523366.0,1418173577.0,182868973.0,854325907.2675606,1.0495058944075173
12515,3995.095494933421,7186.715942952385,40.0,167.0,1682.0,165.0,29654.0,1820204.0,3559748.0,2179441.04547465,1.0600239783080307
3798,2978.9136171534333,3509.855315324541,25.0,196.0,2207.0,274.0,36057.0,2254405.0,4328325.0,2616002.7991395555,1.0646098839520257
13929,1490.9187338568368,1612.7957067692637,10.0,83.0,937.0,121.0,15891.0,957694.0,1907645.0,1169388.5065542518,1.0664758350961994
15068,3503500.5397981955,6719128.708005237,7556.0,135964.0,1118971.0,17994.0,2015964.0,1437116550.0,242001719.0,876601477.1678576,1.068773749677221
14009,851.1281394389348,1129.1697045367725,2.0,19.0,215.0,30.0,3972.0,219303.0,476843.0,330594.44384007965,1.0789707029730056
16109,16496.474095477002,28857.36918388895,74.0,1336.0,12000.0,1134.0,150309.0,14800676.0,18043512.0,10685195.586353919,1.0805448142159157
15373,56313.96147386331,126696.10421631395,131.0,2400.0,27534.0,1433.0,279017.0,29801431.0,33494006.0,20342969.72966494,1.086483253169407
6312,1727.4653863931117,2489.730347177145,10.0,96.0,1084.0,139.0,18276.0,1107288.0,2193881.0,1348318.0416065683,1.0902360532010436
13871,627447.184474539,1111872.4529169912,421.0,12781.0,89068.0,4853.0,732306.0,96662594.0,87908027.0,55057452.90207638,1.0910256109120877
14743,2694786.4002127107,4473144.619977241,2551.0,109790.0,1116786.0,8196.0,918078.0,1434310864.0,110208499.0,869999408.4687924,1.0912731187409621
16796,125534.2129402817,280179.91271350125,222.0,318.0,3280.0,624.0,78743.0,5233812.0,9452570.0,5832462.52567651,1.098263269810655
10549,5442750.469135169,8949600.486492077,3875.0,89562.0,742470.0,28388.0,3920658.0,1430841537.0,470646366.0,931478775.96379,1.099334070989482
14018,218.5574922760041,479.5530123583934,7.0,49.0,554.0,83.0,10875.0,565516.0,1305410.0,835315.3558538813,1.101305961352344
7879,4150376.6694977037,8984785.010940032,2720.0,79794.0,906677.0,8562.0,1081082.0,1446734251.0,129775958.0,882286856.1130272,1.1043471160648584
2912,9312877.35754344,16393612.477400275,6965.0,71998.0,594990.0,27369.0,5609142.0,1014395339.0,673336477.0,752462249.3242633,1.1122710843978925
16363,1868.9159018222488,2141.1757155226983,11.0,73.0,813.0,111.0,14549.0,830706.0,1746554.0,1086650.752757461,1.11741721521813
12749,7844.239940835389,12943.432547831731,52.0,636.0,7151.0,742.0,97683.0,7305544.0,11726176.0,7082858.397137636,1.1190000349970863
16757,1124.4924087505271,1361.6109813969592,12.0,80.0,899.0,122.0,16087.0,918499.0,1931136.0,1204217.4462855333,1.1255620316547525
14663,2250767.483236274,4184865.3830728736,3228.0,14468.0,172818.0,12533.0,1493472.0,213156960.0,179280388.0,124396446.7989873,1.1397062545349192
2397,603185.2749110316,1318519.7829579692,953.0,14978.0,161975.0,7935.0,1419080.0,199783290.0,170350206.0,115983658.15334281,1.1599439158548455
5611,5442.414163559721,7600.242707022912,35.0,254.0,2860.0,367.0,48265.0,2921883.0,5793828.0,3520286.6345367776,1.167720154320837
7274,22867088.67107148,37889635.70957993,5770.0,131897.0,810994.0,30949.0,4687641.0,1513002893.0,562717045.0,1031093046.4441948,1.1770018968134264
290,493150.0100395424,982385.2332423584,3099.0,59754.0,712190.0,4679.0,701657.0,1511167424.0,84228776.0,940984789.1304644,1.1783096824182304
12756,605024.774120183,1043830.917111992,4291.0,103840.0,853293.0,22241.0,4446069.0,1536400476.0,533718146.0,1041641757.6010196,1.1869648094339484
15464,6854.907562663887,12809.096574995041,46.0,23.0,196.0,57.0,7172.0,311971.0,860999.0,594150.960812107,1.1889502718315388
15916,7806.606690520566,12031.870214403436,54.0,30.0,253.0,70.0,8893.0,403539.0,1067581.0,711505.7621076009,1.1926756748359226
6911,10548.9436441103,33440.313029047415,20.0,282.0,3169.0,409.0,53802.0,3237368.0,6458544.0,3924102.7057084106,1.1930103457582306
8856,4814627.71231696,8693668.258561365,3413.0,120724.0,1095351.0,30403.0,5045285.0,1429724507.0,605649557.0,993230973.7754759,1.1947332516306801
5223,2028351.9274596316,3834465.3338892576,4526.0,81160.0,927668.0,26479.0,4443005.0,1581576063.0,533350293.0,1073653589.2548903,1.2069269404027332
7250,4833762.47284716,8237552.372583252,2999.0,96398.0,1148952.0,7115.0,1067003.0,1538447581.0,128085919.0,965176401.5820845,1.2082552347422175
175,1038234.1909486592,1842400.9484944304,2364.0,100308.0,1264390.0,14417.0,2030177.0,1567457165.0,243707873.0,996447096.5593387,1.210420645438238
164,346078.0636495531,614133.6494981437,2364.0,100308.0,1264390.0,14417.0,2030177.0,1567457165.0,243707873.0,996450570.934461,1.2104258295120633
1084,6488.205576528299,11990.033711972028,120.0,1181.0,13169.0,1148.0,154803.0,13703665.0,18582988.0,11305118.342404692,1.2237990669559524
9734,2842.4337684496413,3822.679607135938,24.0,341.0,3839.0,495.0,65179.0,3921950.0,7824284.0,4874948.242449226,1.2239646419565893
10548,66057.26896107548,114653.4960046438,465.0,82258.0,818100.0,20813.0,2084788.0,1576589757.0,250263557.0,1006280899.999893,1.2248532735261928
10546,66057.26896107548,114653.4960046438,465.0,82258.0,818100.0,20813.0,2084788.0,1576589757.0,250263557.0,1006280899.999893,1.2248532735261928
2360,1258477.0217620437,2511091.3450365225,5531.0,104562.75,1259623.25,32688.0,4977809.25,1574064835.0,597549580.75,1092310240.0608041,1.2336521836974126
4602,3767.6827678736863,5647.161901241228,30.0,285.0,3203.0,446.0,58651.0,3271847.0,7040611.0,4380387.866965922,1.2703191304388404
16634,747.2151662190677,2016.7376251330795,3337.5,81396.75,940147.5,22555.75,3059906.25,1602851274.0,367319395.0,1053417378.0224328,1.2778740882291109
3306,6393353.75378168,12663222.711310355,4599.0,102372.0,1220148.0,9855.0,1536320.0,1633779793.0,184423986.0,1052709760.898031,1.2925366165705894
5046,100759.60521554682,311487.821270951,15.0,78.0,735.0,0.0,0.0,1323796.0,0.0,349524.6349369771,1.3090499523299863
16696,49079.33166699041,128878.02897367756,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,147367.1086249948,1.3091761348489217
