,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,k distances,local outlier factor
13871,627447.184474539,1111872.4529169912,421.0,12781.0,89068.0,4853.0,732306.0,96662594.0,87908027.0,48416758.91220216,1.0158170310245465
15373,56313.96147386331,126696.10421631395,131.0,2400.0,27534.0,1433.0,279017.0,29801431.0,33494006.0,17684884.112062752,1.0227882371202723
7867,1935.067957102021,3248.3087039404686,58.0,481.0,5412.0,737.0,96971.0,5528796.0,11640716.0,6532824.4945225455,1.0257803844435662
14009,851.1281394389348,1129.1697045367725,2.0,19.0,215.0,30.0,3972.0,219303.0,476843.0,295241.3889134513,1.0538039404282775
1458,965.056219242608,1000.027385531993,12.0,13.0,119.0,13.0,2214.0,129133.0,265812.0,177409.1696985322,1.0746427642004666
9502,3797.446873276071,6066.757975981994,65.0,463.0,5213.0,747.0,98298.0,5325637.0,11799912.0,6738260.267323243,1.0821834886081805
13389,2181219.353698714,4030547.5340329236,12286.0,263023.0,3168386.0,48505.0,5780070.0,3907953724.0,693855127.0,2655249952.401557,1.0941817779310241
5913,1145.3279743147905,2309.463773343378,16.0,309.0,3347.0,585.0,76921.0,3419232.0,9233851.0,5366775.706716605,1.102437727445024
12711,8778.010555054358,11286.352652745218,58.0,444.0,4988.0,746.0,98141.0,5096238.0,11781111.0,6817398.004988959,1.1285175129656675
9559,182.73747976253463,293.1339093963044,3.0,17.0,191.0,48.0,6254.0,195619.0,750804.0,493739.1041621774,1.1304487034615829
4636,856.8803434895392,1063.7568881166521,3.0,21.0,233.0,57.0,7447.0,237805.0,893965.0,570127.6270672592,1.148458653354685
1084,6488.205576528299,11990.033711972028,120.0,1181.0,13169.0,1148.0,154803.0,13703665.0,18582988.0,9816505.930803379,1.1701878445920892
14663,2250767.483236274,4184865.3830728736,3228.0,14468.0,172818.0,12533.0,1493472.0,213156960.0,179280388.0,110017940.1582876,1.176972070047278
9407,4925204.667721284,8753038.486794809,11583.0,237903.0,2412553.0,36378.0,4663782.0,4044183458.0,559852922.0,2772335550.233344,1.1802771546821107
9409,6566939.556961712,11670717.982393075,11583.0,237903.0,2412553.0,36378.0,4663782.0,4044183458.0,559852922.0,2772340303.2071986,1.1802793274871244
9411,9850409.335442567,17506076.973589618,11583.0,237903.0,2412553.0,36378.0,4663782.0,4044183458.0,559852922.0,2772361937.6027045,1.1802933354410359
16149,10351.211984507525,12688.115219377587,116.0,63.0,533.0,191.0,24145.0,850890.0,2898447.0,1792545.7204471468,1.2152349210187865
2397,603185.2749110316,1318519.7829579692,953.0,14978.0,161975.0,7935.0,1419080.0,199783290.0,170350206.0,103899247.55821942,1.2225656193618855
1780,412.2204189212992,846.2099046834925,79.5,1237.75,13922.0,1244.0,163668.0,14222709.75,19647176.0,10665950.247765912,1.2557626674438402
14523,66680.34406326004,140460.11761477086,377.0,295.0,2507.0,731.0,92281.0,4000734.0,11077650.0,6666085.356828445,1.26769109168998
12428,292909.18844815803,558184.2359405751,448.0,2771.0,18781.0,2184.0,242617.0,20382353.0,29124420.0,16791141.629626293,1.2995764609447737
6637,18315.674184309235,34002.61339394162,56.0,533.0,5999.0,869.0,114300.0,6128750.0,13720896.0,8168653.086991144,1.3310064602609277
6885,40216777.51490343,74091190.04445092,7766.0,498052.0,2200305.0,49989.0,1849831.0,4348409245.0,222058637.0,2997126879.4638658,1.351126585896288
6611,82416716.35453221,142884657.66180024,15746.0,376686.0,2314846.0,75245.0,11418639.0,4318614385.0,1370724203.0,3151782312.8150854,1.3905882546423813
3633,891963.6274545741,1791702.459664033,621.0,8531.0,57435.0,5228.0,577316.0,62332409.0,69302625.0,38352178.3270799,1.391912197528199
10803,3834.0296230181693,8476.765728699422,26.0,231.0,2596.0,623.0,81973.0,2651782.0,9840312.0,6247152.5110258525,1.421160353111895
10438,1102.694064156228,1199.2662729595568,6.0,50.0,565.0,138.0,18072.0,577078.0,2169371.0,1371519.607368622,1.4263104833221705
16053,8862.502640102726,15511.097984551341,57.0,871.0,9797.0,1159.0,152519.0,10008933.0,18308809.0,10641564.789391069,1.4311377802603549
11654,30113.404956604223,53595.25761167283,111.0,3000.0,33752.0,2857.0,375968.0,34481831.0,45132152.0,26147485.20322011,1.4350061740440558
9126,6671.313474315319,12783.999938331057,9.0,75.0,839.0,216.0,28370.0,856900.0,3405655.0,2150966.414282596,1.4568946195417556
5857,24047.743801277004,52864.046500713135,136.0,138.0,1761.0,325.0,60162.0,1905742.0,7222018.0,4609122.430388608,1.4594423670908692
6448,252.13245695723725,220.84644548423654,11.0,87.0,983.0,240.0,31440.0,1003969.0,3774152.0,2370828.153373859,1.5135351856816313
4539,427.71914623987715,567.7734068300084,18.0,106.0,1196.0,298.0,39063.0,1221766.0,4689267.0,2989157.8489623647,1.6099035017801018
11735,18162058.229737107,34222031.374659084,22776.0,247025.0,2433317.0,118962.0,12741188.0,4689334855.0,1529486505.0,3551168402.6186996,1.6415723813173668
11737,60540194.09912364,114073437.91553023,22776.0,247025.0,2433317.0,118962.0,12741188.0,4689334855.0,1529486505.0,3553171978.1736965,1.643052210960666
2439,2646.632741289176,3613.084403812274,46.0,21.0,271.0,82.0,15210.0,292929.0,1825817.0,1219698.127344092,1.6961613331079624
14213,1373.3009563612704,1707.4761446292246,5431.25,537282.0,3182096.75,164935.5,21774366.0,4389689798.75,2613853473.0,3839273659.2965126,1.8373418187309316
12234,3611.969437777184,5592.03064341682,48.0,364.0,4097.0,945.0,124339.0,4185186.0,14925956.0,9799723.113717645,1.87191391479809
15081,13119739.761807185,25861003.88577998,7472.0,186449.0,2451487.0,31248.0,4539003.0,5201714034.0,544874084.0,3832769682.62001,1.8739363393473385
7628,49647.51236725236,95946.03877669816,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,111309.77694723193,1.8934357902480368
8366,37865.068765991164,80659.27227001643,254.0,4420.0,49716.0,4525.0,595399.0,50790483.0,71473253.0,43693416.9128981,1.9158118466107792
3034,291560.7830766603,480089.9499942999,296.0,5147.0,35869.0,3280.0,494987.0,38926886.0,59419579.0,37103766.353865154,1.9346154481018492
15528,423835.18834163045,753918.5030118476,471.0,7054.0,46448.0,5419.0,597059.0,50408330.0,71672514.0,43897089.69760714,1.9524078970681484
11690,27608.4998390325,56581.519169234416,157.0,1997.0,23805.0,2136.0,621824.0,50510317.0,74645477.0,46529951.62437645,2.048471100806087
10490,10639404.977902457,20869482.150138047,7474.0,305946.0,3520370.0,37509.0,4735971.0,5617259277.0,568518682.0,4192907212.577257,2.0731150689816342
3155,30155566.15586489,54538642.151712,12716.0,331726.0,3276695.0,57803.0,10504445.0,5586416625.0,1260981809.0,4272948083.547903,2.088345533172448
883,27922.3077692264,40127.716915824596,65.0,846.0,9522.0,1496.0,196794.0,9728019.0,23623730.0,15300102.662705699,2.180568313478113
704,20689662.54885828,39110595.26329823,12914.0,366861.0,4372539.0,35246.0,5279691.0,5854834893.0,633788321.0,4435211151.919827,2.2199298404322745
13159,13698236.159305878,24736718.662990697,14641.0,785802.0,4236898.0,134969.0,16310978.0,5673247269.0,1958013730.0,4566762751.868577,2.253845531188829
3448,19523.41397457033,29129.009884625462,77.0,1033.0,11620.0,1952.0,256854.0,11870623.0,30833496.0,20969405.54333111,2.475332543246248
2734,10076.28995651173,16433.009053447535,139.0,1441.0,16206.0,2615.0,344068.0,16555922.0,41302870.0,28435580.64090604,2.5183405867178923
7513,5343011.558588821,9711228.580542725,9661.0,376194.0,3477602.0,9951.0,1379160.0,6262533804.0,165558029.0,4850850898.736245,2.5290896870903454
14090,2191318.225439502,4009262.076927288,2103.0,55392.0,600782.0,50571.0,6654207.0,613765077.0,798788942.0,685117432.2614543,2.5371301069562886
4300,332666.7557758213,511298.77959453955,337.0,6437.0,72413.0,7555.0,1001670.0,73978304.0,120243159.0,81579231.61462283,2.576281907826419
11078,30282861.937525466,57906209.92629825,9705.0,233615.0,3071629.0,40220.0,5842205.0,6517567999.0,701313962.0,5089044913.961682,2.581537497722813
11483,30331.430817953573,83724.09128745798,49.0,0.0,0.0,106.0,19557.0,0.0,2347688.0,1779174.2704775056,2.594787445081667
16696,49079.33166699041,128878.02897367756,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,140016.6665839899,2.6832086556052746
5046,100759.60521554682,311487.821270951,15.0,78.0,735.0,0.0,0.0,1323796.0,0.0,331751.7488732095,2.7365289256510703
2011,517980.7849558514,990091.5069397944,821.0,19360.0,134946.0,12285.0,1853817.0,146452849.0,222537178.0,155671198.91945645,2.741309951946202
3862,15275409.106821153,26809143.04936809,15170.0,358805.0,3900070.0,52081.0,9535400.0,6834138251.0,1144655135.0,5431268784.795833,2.7862886796677673
11653,2176321.403500196,4116312.8849209063,1793.0,54736.0,615730.0,55564.0,7311172.0,629036012.0,877652783.0,761126077.7040651,2.8956693539524734
13146,28888845.19719255,57364369.64710592,16701.0,443860.0,5290272.0,47188.0,8468865.0,7083680435.0,1016625382.0,5669135436.092467,2.932244139040481
7909,1055741.791179027,2157251.735972164,1678.0,2047.0,17419.0,4445.0,561240.0,27794928.0,67372816.0,47582570.155100636,2.9859797603672567
11755,40724123.18961006,75465390.33007531,17682.0,587298.0,5631927.0,43383.0,4860398.0,7233194938.0,583455302.0,5803940472.623311,3.01784866877394
11605,149297.17159844268,292287.290174376,466.0,7456.0,83875.0,11785.0,1551347.0,85687582.0,186227837.0,137049830.0923919,3.408711711562013
802,15607943.210307073,28044266.13557299,10989.0,453825.0,4266603.0,150105.0,17727727.0,8222326307.0,2128084060.0,6976748757.443934,3.714648359812423
3587,68451358.93722725,125276346.5969108,18628.0,572969.0,6829102.0,45395.0,6807531.0,9144175215.0,817194383.0,7682383531.123845,4.181313880666163
15703,3565652.084495798,6719921.457551323,10407.0,582854.0,4973947.0,100315.0,10153365.0,9585476023.0,1218837317.0,8129602845.516325,4.450555859599274
15718,1783351.0756142845,3361165.2753963205,10419.0,582996.0,4975739.0,100337.0,10156393.0,9587697326.0,1219200819.0,8131834995.290873,4.451967664654252
15709,19678333.968113225,37077509.53286362,10680.0,585479.0,5004341.0,101282.0,10277414.0,9637293942.0,1233728507.0,8182123968.013097,4.483688577555721
492,3733.4461577890334,7740.984689501591,31.0,265.0,3483.0,4075.0,587768.0,7390811.0,70557224.0,57240015.24678125,4.9902431791436115
491,1244.4820525963448,2580.328229833864,31.0,265.0,3483.0,4075.0,587768.0,7390811.0,70557224.0,57240023.616820484,4.9902455134774275
3570,4570.52108472961,4496.3270295305265,5.0,95.0,1067.0,1723.0,320673.0,1089793.0,38494452.0,31599704.834607992,5.117377676479305
2719,11101169.413326517,19938060.41001113,38486.0,536601.0,6145963.0,248271.0,28559474.0,10478212549.0,3428356144.0,9478583909.365774,5.3123156204184285
2718,144315202.37324467,259194785.33014467,38486.0,536601.0,6145963.0,248271.0,28559474.0,10478212549.0,3428356144.0,9482910850.045527,5.315402377157185
7490,88858.16580404436,202841.87950461768,0.0,32.0,111.0,0.0,0.0,194354.0,0.0,222333.16436832724,5.365237476114823
6972,156964708.1010593,284092792.02943933,32886.0,850853.0,10141135.0,87021.0,13429153.0,13578992566.0,1612071631.0,12142651149.071861,7.138368456014988
13728,151313.47062996664,344460.7718412932,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,376283.4400805546,8.897296913122526
8616,633042932.1444674,1093900233.0935106,49649.0,1727121.0,12023369.0,127206.0,14889777.0,16099407399.0,1787408917.0,14719108211.37424,8.943898187517343
7476,418830.53765236546,787842.5288023669,1.0,31.0,183.0,0.0,0.0,252308.0,0.0,891306.0210497146,21.50709644443532
